id,title,subtitle,credits,script,dataPath,imgPath,caption,chartType,xAxis,yAxis,URL,topic
1,"Foreign-born population in the United States, 1850-2018","Foreign-born population, in millions","Source: U.S. Census Bureau population estimates and Pew Research Center tabulations of 2010, 2013-2018 American Community Surveys (IPUMS).","chart[29230] = [{""colors"":[""#A55A26"",""#DE996A"",""#E7BA9A"",""#F2DBCD"",""#7C441C""],""plotOptions"":{""line"":{""marker"":{""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Foreign-born population, in millions""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Foreign-born population in the United States, 1850-2018"",""subtitle"":""Foreign-born population, in millions"",""URL"":""https:\/\/www.pewresearch.org\/hispanic\/chart\/foreign-born-population-in-the-united-states-1850-2018\/"",""id"":29230,""slug"":""foreign-born-population-in-the-united-states-1850-2018"",""domain"":""https:\/\/www.pewresearch.org\/hispanic"",""credits"":""Source: U.S. Census Bureau population estimates and Pew Research Center tabulations of 2010, 2013-2018 American Community Surveys (IPUMS)."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/1.csv,out/two_col/imgs/1.png,"The foreign-born population residing in the U.S. reached a record 44.8 million, or 13.7% of the U.S. population, in 2018. This immigrant population has more than quadrupled since the 1960s, when the 1965 Immigration and Naturalization Act took effect. Though growth has begun to slow in recent years, the number of immigrants living in the United States is projected to almost double by 2065.",line,Year,"Foreign-born population, in millions",https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,Hispanic Trends
2,"English proficiency among U.S. immigrants, 1980-2018",% of foreign-born population ages 5 and older who are English proficient,"Note: English proficient are those who speak only English at home or, if they speak a non-English language at home, they indicate they can speak English at least “very well.”
Source: Pew Research Center tabulations of 1980-2000 decennial censuses and 2010, 2013-2018 American Community Surveys (IPUMS).","chart[29253] = [{""colors"":[""#A55A26"",""#DE996A"",""#E7BA9A"",""#F2DBCD"",""#7C441C""],""plotOptions"":{""line"":{""marker"":{""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""% of foreign-born population ages 5 and older who are English proficient""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""English proficiency among U.S. immigrants, 1980-2018"",""subtitle"":""% of foreign-born population ages 5 and older who are English proficient"",""URL"":""https:\/\/www.pewresearch.org\/hispanic\/chart\/english-proficiency-among-u-s-immigrants-1980-2018\/"",""id"":29253,""slug"":""english-proficiency-among-u-s-immigrants-1980-2018"",""domain"":""https:\/\/www.pewresearch.org\/hispanic"",""credits"":""Note: English proficient are those who speak only English at home or, if they speak a non-English language at home, they indicate they can speak English at least \u201cvery well.\u201d<br>Source: Pew Research Center tabulations of 1980-2000 decennial censuses and 2010, 2013-2018 American Community Surveys (IPUMS)."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/2.csv,out/two_col/imgs/2.png,"Since 1980, the share of immigrants who are proficient in English (those who speak only English at home or speak English at least “very well”) has declined, though it has increased slightly in recent years. This decline has been driven entirely by those who speak only English at home, which fell from 30% of immigrants ages 5 and older in 1980 to 17% in 2018. The share who speaks English “very well,” meanwhile, has increased slightly, from 27% to 37% over the same time period.",line,Year,% of immigrants,https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,Hispanic Trends
3,"Languages spoken among U.S. immigrants, 2018",% of immigrants ages 5 and older who speak ___ at home,"Note: Languages spoken by at least 2.0% of the immigrant population are shown. Hindi includes related languages such as Urdu and Bengali. Dravidian is family of languages which includes; Telugu, Tamil, Malayalam and Kannada.
Source: Pew Research Center tabulations of the 2018 American Community Survey (IPUMS).","chart[29290] = [{""colors"":[""#A55A26"",""#DE996A"",""#E7BA9A"",""#F2DBCD"",""#7C441C""],""plotOptions"":{""line"":{""marker"":{""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""pie"",""zoomType"":""none""},""subtitle"":{""text"":""% of immigrants ages 5 and older who speak ___ at home""},""xAxis"":{""title"":[],""type"":""linear""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Languages spoken among U.S. immigrants, 2018"",""subtitle"":""% of immigrants ages 5 and older who speak ___ at home"",""URL"":""https:\/\/www.pewresearch.org\/hispanic\/chart\/languages-spoken-among-u-s-immigrants-2018\/"",""id"":29290,""slug"":""languages-spoken-among-u-s-immigrants-2018"",""domain"":""https:\/\/www.pewresearch.org\/hispanic"",""credits"":""Note: Languages spoken by at least 2.0% of the immigrant population are shown. Hindi includes related languages such as Urdu and Bengali. Dravidian is family of languages which includes; Telugu, Tamil, Malayalam and Kannada.<br>Source: Pew Research Center tabulations of the 2018 American Community Survey (IPUMS)."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/3.csv,out/two_col/imgs/3.png,"Among the nation’s immigrants, Spanish is by far the most spoken non-English language (42% of immigrants say they speak Spanish at home), but it is not the only non-English language spoken by immigrants. Some 6% of immigrants speak Chinese (including Mandarin and Cantonese), 5% speak Hindi or a related language, 4% speak Filipino or Tagalog, 3% speak Vietnamese, 3% speak French and 2% speak Dravidian.",pie,Language,% of immigrants,https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,Hispanic Trends
4,"Hispanic population in the U.S., 2000-2017",,"Note: Hispanics are of any race. Changes in the wording of the Hispanic origin question in the 2000 decennial census may have led to an undercount of some Hispanic origin groups in that year. For more, see ""Counting the 'Other Hispanics'.""
Source: Pew Research Center tabulations of 2000 census (5% IPUMS) and 2010, 2015 and 2017 American Community Surveys (1% IPUMS).","chart[27933] = [{""colors"":[""#A55A26"",""#DE996A"",""#E7BA9A"",""#F2DBCD"",""#7C441C""],""plotOptions"":{""line"":{""marker"":{""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":[],""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Hispanic population in the U.S., 2000-2017"",""subtitle"":"""",""URL"":""https:\/\/www.pewresearch.org\/hispanic\/chart\/u-s-hispanics-population\/"",""id"":27933,""slug"":""u-s-hispanics-population"",""domain"":""https:\/\/www.pewresearch.org\/hispanic"",""credits"":"""",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/4.csv,out/two_col/imgs/4.png,"There were nearly 60 million Latinos in the United States in 2017, accounting for approximately 18% of the total U.S. population. In 1980, with a population of 14.8 million, Hispanics made up just 6.5% of the total U.S. population. For more, read the accompanying blog post, “Key facts about U.S. Hispanics and their diverse heritage.” For facts on the foreign-born population in the United States, see our profile on U.S. immigrants.",line,Year,U.S. Hispanic Population,https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/,Hispanic Trends
9,"Views on abortion, 2019: A detailed look",% of U.S. adults in 2019 who say abortion should be ...,,"chart[23859] = [{""colors"":[""#0090c0"",""#c9deee"",""#9dc7e1"",""#0073a5"",""#00557e""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""column"",""zoomType"":""none""},""subtitle"":{""text"":""% of U.S. adults in 2019 who say abortion should be ...""},""xAxis"":{""title"":[],""type"":""linear""},""yAxis"":{""title"":[],""max"":""100""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":""true"",""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":""true"",""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Views on abortion by U.S. adults"",""subtitle"":""% of U.S. adults in 2019 who say abortion should be ..."",""URL"":""https:\/\/www.pewforum.org\/chart\/views-on-abortion-detailed\/"",""id"":23859,""slug"":""views-on-abortion-detailed"",""domain"":""https:\/\/www.pewforum.org"",""credits"":"""",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/9.csv,out/two_col/imgs/9.png,"Though abortion is a divisive issue, more than half of U.S. adults take a non-absolutist position, saying that in most – but not all – cases, abortion should be legal (34%) or illegal (26%). Fewer take the position that in all cases abortion should be either legal (27%) or illegal (12%).",bar,Abortion should be ...,% of U.S. adults,https://www.pewforum.org/fact-sheet/public-opinion-on-abortion/,Religion & Public Life
10,Weekly broadcast audience for top 20 NPR-affiliated radio stations,Average weekly terrestrial listenership,"Source: NPR, based on data from Nielsen Audio Nationwide, for persons 12+.","chart[63701] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""column"",""zoomType"":""none""},""subtitle"":{""text"":""Average weekly terrestrial listenership""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""40000000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Weekly broadcast audience for top 20 NPR-affiliated radio stations"",""subtitle"":""Average weekly terrestrial listenership"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-public-media-weekly-broadcast-audience-for-top-20-npr-affiliated-radio-stations\/"",""id"":63701,""slug"":""sotnm-public-media-weekly-broadcast-audience-for-top-20-npr-affiliated-radio-stations"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Source: NPR, based on data from Nielsen Audio Nationwide, for persons 12+."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/10.csv,out/two_col/imgs/10.png,"The top 20 NPR-affiliated public radio stations (by listenership) had on average a total weekly listenership of about 11 million in 2018, about the same as in 2017. (This includes listeners of NPR programming as well as original or other syndicated content aired on these stations.)",bar,Year,Listenership,https://www.journalism.org/fact-sheet/public-broadcasting/,Journalism & Media
11,PBS NewsHour viewership,Total average viewership,"Note: Numbers represent the annual P2+, Live+SD average for each broadcast calendar year.
Source: Information provided by PBS NewsHour, based on Nielsen NPower.","chart[63715] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""column"",""zoomType"":""none""},""subtitle"":{""text"":""Total average viewership""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""1500000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""PBS NewsHour viewership"",""subtitle"":""Total average viewership"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-public-media-pbs-newshour-viewership\/"",""id"":63715,""slug"":""sotnm-public-media-pbs-newshour-viewership"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Numbers represent the annual P2+, Live+SD average for each broadcast calendar year.<br> Source: Information provided by PBS NewsHour, based on Nielsen NPower."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/11.csv,out/two_col/imgs/11.png,"The audience for public television programming declined over the past year: In 2018, the NewsHour program, which airs on PBS, attracted 1.1 million viewers on average, down 6% from the year before.",bar,Year,Total average viewership,https://www.journalism.org/fact-sheet/public-broadcasting/,Journalism & Media
12,Local public radio station revenue,Total revenue for the 123 largest news-oriented public radio licensees (in U.S. dollars),"Note: All figures are fiscal year, inflation-adjusted calculations. Data for these licensees was aggregated and provided by Mark Fuerst, director of consultancy, Public Media Futures Forum, using the Annual Financial Reports submitted by each licensee to the Corporation for Public Broadcasting (CPB). These results reflect the performance of the largest public radio news-station licensees initially selected in 2015 and thereafter tracked by Public Media Futures to estimate total system performance. One licensee was dropped from the analysis due to a format change, bringing the total to 123 (118 licensees plus five owners of 11 licensees). Previous years' data was updated to reflect this new cohort.
Source: Public Media Futures Forum, a project funded by the Wyncote Foundation.","chart[63723] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Total revenue for the 123 largest news-oriented public radio licensees (in U.S. dollars)""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""1000000000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Local public radio station revenue"",""subtitle"":""Total revenue for the 123 largest news-oriented public radio licensees (in U.S. dollars)"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-public-media-local-public-radio-station-revenue\/"",""id"":63723,""slug"":""sotnm-public-media-local-public-radio-station-revenue"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: All figures are fiscal year, inflation-adjusted calculations. Data for these licensees was aggregated and provided by Mark Fuerst, director of consultancy, Public Media Futures Forum, using the Annual Financial Reports submitted by each licensee to the Corporation for Public Broadcasting (CPB). These results reflect the performance of the largest public radio news-station licensees initially selected in 2015 and thereafter tracked by Public Media Futures to estimate total system performance. One licensee was dropped from the analysis due to a format change, bringing the total to 123 (118 licensees plus five owners of 11 licensees). Previous years' data was updated to reflect this new cohort.<br> Source: Public Media Futures Forum, a project funded by the Wyncote Foundation."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/12.csv,out/two_col/imgs/12.png,"At the local public radio level, an analysis of the public filings provided by 123 of the largest news-oriented licensees (organizations that operate local public radio stations) shows that in 2017 – the last year for which reliable data is available – total revenue for this group was $904.7 million.",line,Year,Total revenue,https://www.journalism.org/fact-sheet/public-broadcasting/,Journalism & Media
13,Local public radio station membership,Total station membership for the 123 largest news-oriented public radio licensees,"Note: Data for these licensees was aggregated and provided by Mark Fuerst, director of consultancy, Public Media Futures Forum, using the Annual Financial Reports submitted by each licensee to the Corporation for Public Broadcasting (CPB). These results reflect the performance of the largest public radio news-station licensees initially selected in 2015 and thereafter tracked by Public Media Futures to estimate total system performance. One licensee was dropped from the analysis due to a format change, bringing the total to 123 (118 licensees plus five owners of 11 licensees). Previous years' data was updated to reflect this new cohort.
Source: Public Media Futures Forum, a project funded by the Wyncote Foundation.","chart[63725] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Total station membership for the 123 largest news-oriented public radio licensees""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Local public radio station membership"",""subtitle"":""Total station membership for the 123 largest news-oriented public radio licensees"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-public-media-local-public-radio-station-membership\/"",""id"":63725,""slug"":""sotnm-public-media-local-public-radio-station-membership"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Data for these licensees was aggregated and provided by Mark Fuerst, director of consultancy, Public Media Futures Forum, using the Annual Financial Reports submitted by each licensee to the Corporation for Public Broadcasting (CPB). These results reflect the performance of the largest public radio news-station licensees initially selected in 2015 and thereafter tracked by Public Media Futures to estimate total system performance. One licensee was dropped from the analysis due to a format change, bringing the total to 123 (118 licensees plus five owners of 11 licensees). Previous years' data was updated to reflect this new cohort.<br> Source: Public Media Futures Forum, a project funded by the Wyncote Foundation."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/13.csv,out/two_col/imgs/13.png,"The total number of individual members – defined as anyone who has given money to one of the stations owned by these 123 licensees in each calendar year – in 2017 was 2.3 million, about a 10% increase over the previous year.",line,Year,Total membership,https://www.journalism.org/fact-sheet/public-broadcasting/,Journalism & Media
14,Local public radio station expenses,Total program and production expenses for the 123 largest news-oriented public radio licensees (in U.S. dollars),"Note: All figures are fiscal year, inflation-adjusted calculations. Data for these licensees was aggregated and provided by Mark Fuerst, director of consultancy, Public Media Futures Forum, using the Annual Financial Reports submitted by each licensee to the Corporation for Public Broadcasting (CPB). These results reflect the performance of the largest public radio news-station licensees initially selected in 2015 and thereafter tracked by Public Media Futures to estimate total system performance. One licensee was dropped from the analysis due to a format change, bringing the total to 123 (118 licensees plus five owners of 11 licensees). Previous years' data was updated to reflect this new cohort.
Source: Public Media Futures Forum, a project funded by the Wyncote Foundation.","chart[63731] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Total program and production expenses for the 123 largest news-oriented public radio licensees (in U.S. dollars)""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Local public radio station expenses"",""subtitle"":""Total program and production expenses for the 123 largest news-oriented public radio licensees (in U.S. dollars)"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-public-media-local-public-radio-station-expenses\/"",""id"":63731,""slug"":""sotnm-public-media-local-public-radio-station-expenses"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: All figures are fiscal year, inflation-adjusted calculations. Data for these licensees was aggregated and provided by Mark Fuerst, director of consultancy, Public Media Futures Forum, using the Annual Financial Reports submitted by each licensee to the Corporation for Public Broadcasting (CPB). These results reflect the performance of the largest public radio news-station licensees initially selected in 2015 and thereafter tracked by Public Media Futures to estimate total system performance. One licensee was dropped from the analysis due to a format change, bringing the total to 123 (118 licensees plus five owners of 11 licensees). Previous years' data was updated to reflect this new cohort.<br> Source: Public Media Futures Forum, a project funded by the Wyncote Foundation."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/14.csv,out/two_col/imgs/14.png,"Program and production expenses for the 123 news-oriented local public radio licensees was $446.8 million in 2017, compared with $439.6 million in 2016. While program and production expenses comprise only a portion of overall station expenses, an increase in these kinds of expenditures indicates that the stations are directing more dollars toward the creation of news content.",line,Year,Total program and production expenses,https://www.journalism.org/fact-sheet/public-broadcasting/,Journalism & Media
