Date,.,Greatest,Silent,Boomer,Gen X,Millennial
3/25/2019,PEW,,18.0,16.0,17.0,19.0
12/4/2017,PEW,,18.0,14.0,17.0,15.0
4/11/2017,PEW,,14.0,20.0,22.0,19.0
10/4/2015,PEW,,16.0,14.0,19.0,24.0
7/20/2014,CNN,,11.0,10.0,14.0,19.0
2/26/2014,PEW,,24.0,21.0,24.0,27.0
11/15/2013,CBS/NYT,,13.0,16.0,15.0,21.0
10/13/2013,PEW,,16.0,17.0,16.0,26.0
5/31/2013,CBS/NYT,,20.0,15.0,18.0,29.0
2/6/2013,CBS/NYT,,21.0,19.0,18.0,24.0
1/13/2013,PEW,,23.0,23.0,24.0,32.0
10/19/2011,CBS/NYT,,5.0,6.0,8.0,19.0
10/4/2011,PEW,,16.0,16.0,19.0,26.0
9/23/2011,CNN,,8.0,10.0,16.0,25.0
8/21/2011,PEW,,15.0,16.0,17.0,25.0
3/14/2011,PEW,,25.0,29.0,26.0,34.0
10/21/2010,CBS/NYT,,20.0,17.0,27.0,23.0
10/1/2010,CBS/NYT,,14.0,17.0,21.0,22.0
9/6/2010,PEW,,22.0,20.0,25.0,29.0
9/1/2010,CNN,,21.0,23.0,23.0,
4/5/2010,CBS/NYT,,14.0,14.0,26.0,
4/1/2010,PEW,,22.0,22.0,20.0,37.0
3/21/2010,PEW,,18.0,18.0,23.0,32.0
2/12/2010,CNN,,26.0,25.0,25.0,
2/5/2010,CBS/NYT,,20.0,18.0,26.0,
1/10/2010,GALLUP,,16.0,14.0,19.0,32.0
12/20/2009,CNN,,21.0,17.0,19.0,
8/31/2009,CBS/NYT,,16.0,18.0,21.0,43.0
6/12/2009,CBS/NYT,,14.0,22.0,22.0,
12/21/2008,CNN,,23.0,26.0,21.0,
10/15/2008,NES,,30.0,31.0,29.0,32.0
10/13/2008,CBS/NYT,,14.0,11.0,14.0,
7/9/2007,CBS/NYT,,14.0,19.0,26.0,39.0
1/9/2007,PEW,,31.0,30.0,31.0,32.0
10/8/2006,CBS/NYT,,27.0,25.0,34.0,
9/15/2006,CBS/NYT,,21.0,25.0,31.0,
2/5/2006,PEW,,32.0,32.0,38.0,32.0
1/20/2006,CBS/NYT,,29.0,29.0,31.0,
1/6/2006,GALLUP,,29.0,30.0,33.0,
12/2/2005,CBS/NYT,,29.0,29.0,36.0,
9/11/2005,PEW,,31.0,30.0,34.0,
9/9/2005,CBS/NYT,,29.0,23.0,35.0,
6/19/2005,GALLUP,,31.0,25.0,37.0,
10/15/2004,NES,,48.0,49.0,42.0,43.0
3/21/2004,PEW,,35.0,37.0,34.0,44.0
10/26/2003,GALLUP,,34.0,36.0,38.0,
7/27/2003,CBS/NYT,,27.0,36.0,37.0,
10/15/2002,NES,,59.0,55.0,52.0,
9/4/2002,GALLUP,,35.0,47.0,51.0,
9/2/2002,CBS/NYT,,33.0,34.0,42.0,
7/13/2002,CBS/NYT,,32.0,35.0,42.0,
6/17/2002,GALLUP,,41.0,44.0,47.0,
1/24/2002,CBS/NYT,,41.0,45.0,50.0,
12/7/2001,CBS/NYT,,45.0,48.0,51.0,
10/25/2001,CBS/NYT,,49.0,56.0,56.0,
10/6/2001,GALLUP,,51.0,59.0,62.0,
1/17/2001,CBS/NYT,,32.0,31.0,33.0,
10/15/2000,NES,57.0,50.0,39.0,43.0,
7/9/2000,GALLUP,,40.0,39.0,44.0,
4/2/2000,ABC/POST,,30.0,26.0,33.0,
10/3/1999,CBS/NYT,,24.0,33.0,33.0,
9/14/1999,CBS/NYT,40.0,36.0,36.0,41.0,
2/12/1999,ABC/POST,,29.0,31.0,36.0,
2/4/1999,GALLUP,,,35.0,32.0,
1/10/1999,CBS/NYT,36.0,35.0,33.0,43.0,
1/3/1999,CBS/NYT,27.0,31.0,32.0,37.0,
12/1/1998,NES,36.0,34.0,38.0,49.0,
11/1/1998,CBS/NYT,22.0,22.0,27.0,24.0,
10/26/1998,CBS/NYT,,21.0,27.0,28.0,
8/10/1998,ABC/POST,,26.0,34.0,37.0,
2/1/1998,GALLUP,,37.0,29.0,45.0,
1/25/1998,CBS/NYT,,29.0,25.0,27.0,
10/31/1997,PEW,,39.0,36.0,39.0,
6/1/1997,GALLUP,,32.0,30.0,37.0,
1/14/1997,CBS/NYT,25.0,22.0,21.0,27.0,
11/2/1996,CBS/NYT,30.0,24.0,23.0,27.0,
10/15/1996,NES,37.0,34.0,32.0,31.0,
5/12/1996,GALLUP,35.0,19.0,23.0,35.0,
5/6/1996,ABC/POST,40.0,33.0,29.0,40.0,
11/19/1995,ABC/POST,28.0,18.0,26.0,28.0,
8/7/1995,GALLUP,15.0,23.0,23.0,23.0,
8/5/1995,CBS/NYT,19.0,17.0,18.0,24.0,
3/19/1995,ABC/POST,23.0,20.0,22.0,25.0,
2/22/1995,CBS/NYT,19.0,16.0,17.0,21.0,
12/1/1994,NES,28.0,20.0,20.0,24.0,
10/29/1994,CBS/NYT,25.0,19.0,20.0,24.0,
10/23/1994,ABC/POST,28.0,21.0,21.0,19.0,
6/6/1994,GALLUP,13.0,14.0,14.0,26.0,
1/30/1994,GALLUP,19.0,19.0,17.0,25.0,
1/20/1994,ABC/POST,32.0,23.0,21.0,24.0,
3/24/1993,GALLUP,28.0,21.0,19.0,26.0,
1/17/1993,ABC/POST,25.0,28.0,25.0,35.0,
1/14/1993,CBS/NYT,31.0,25.0,20.0,26.0,
10/23/1992,CBS/NYT,21.0,18.0,22.0,29.0,
10/15/1992,NES,28.0,29.0,29.0,30.0,
6/8/1992,GALLUP,21.0,11.0,26.0,30.0,
10/20/1991,ABC/POST,31.0,31.0,36.0,42.0,
3/6/1991,CBS/NYT,36.0,40.0,50.0,58.0,
3/1/1991,ABC/POST,38.0,41.0,45.0,58.0,
12/1/1990,NES,27.0,27.0,27.0,36.0,
10/28/1990,CBS/NYT,20.0,22.0,25.0,34.0,
9/6/1990,ABC/POST,37.0,41.0,42.0,51.0,
1/16/1990,ABC/POST,37.0,34.0,38.0,48.0,
6/29/1989,CBS/NYT,28.0,37.0,36.0,38.0,
1/15/1989,CBS/NYT,42.0,37.0,46.0,52.0,
11/10/1988,CBS/NYT,38.0,40.0,47.0,47.0,
10/15/1988,NES,41.0,43.0,39.0,42.0,
1/23/1988,ABC/POST,33.0,32.0,42.0,58.0,
10/18/1987,CBS/NYT,30.0,39.0,46.0,,
6/1/1987,ABC/POST,45.0,46.0,48.0,57.0,
3/1/1987,CBS/NYT,36.0,36.0,46.0,,
1/21/1987,CBS/NYT,39.0,37.0,46.0,56.0,
1/19/1987,ABC/POST,43.0,41.0,43.0,,
12/1/1986,NES,40.0,40.0,38.0,31.0,
11/30/1986,CBS/NYT,47.0,45.0,48.0,,
9/9/1986,ABC/POST,37.0,35.0,43.0,,
1/19/1986,CBS/NYT,36.0,43.0,44.0,,
11/6/1985,CBS/NYT,50.0,46.0,48.0,,
7/29/1985,ABC/POST,36.0,32.0,41.0,,
3/21/1985,ABC/POST,38.0,34.0,39.0,,
2/22/1985,ABC/POST,38.0,39.0,45.0,,
10/15/1984,NES,42.0,41.0,47.0,,
12/1/1982,NES,33.0,31.0,34.0,,
11/7/1980,CBS/NYT,38.0,40.0,38.0,,
10/15/1980,NES,26.0,22.0,27.0,,
3/12/1980,CBS/NYT,26.0,24.0,28.0,,
12/1/1978,NES,26.0,29.0,32.0,,
10/15/1976,NES,31.0,32.0,38.0,,
3/1/1976,GALLUP,32.0,31.0,35.0,,
12/1/1974,NES,32.0,36.0,43.0,,
10/15/1972,NES,49.0,57.0,56.0,,
