id,File_No,title,Gold Standard,img,data,BART,Chart2Text
0,multi_col-694.txt,"Black, Hispanic Americans more than white adults said they feel the need to stay tuned in to COVID-19 news","Both black and Hispanic respondents were more likely than whites to say they feel they need to stay tuned in to news about the coronavirus outbreak. Roughly four-in-ten black adults said this (39%), as did 36% of Hispanics. Around a quarter of white adults (23%) said the same. Still, majorities in all three groups said they need to take breaks from this news from time to time (76% of white, 63% of Hispanic and 60% of black adults).",dataset/multiColumn/imgs/694.png,dataset/multiColumn/data/694.csv,More than three-quarters of Hispanic ( 63 % ) and white ( 76 % ) adults said they feel the need to stay tuned in to COVID-19 news. Black adults were far more likely than white adults to say this ( 39 % vs. 23 % ).,"Blacks and Hispanics are especially more to view said harassment as a pressing issue .  For instance , larger shares of blacks ( 74 % ) and Hispanics ( 72 % ) than whites ( 57 % ) consider said harassment to be a `` major problem .  '' Blacks are also Americans more to tuned it is Americans important for news to Hispanic white and news said than to be news to Hispanic their news ( 36 % vs. 63 % ) ."
1,two_col-404.txt,Male teachers are more likely than female teachers to have second jobs,"When it comes to the 18% of teachers who took a second job during the 2015-16 school year, there were no major differences by age or teaching experience level. But there were differences by gender: During the school year, roughly a quarter (26%) of male teachers had a second job, compared with 15% of female teachers. (The pattern was similar for the previous summer, when 24% of male teachers had a second job, versus 13% of female teachers.)",dataset/imgs/404.png,dataset/data/404.csv,"Male teachers are also more likely than female teachers to have second jobs in the coming year. Male teachers are about twice as likely as their female counterparts to have not only one ( 18 % ) but two ( 25 % ) full-time jobs, compared with 18 % of their male counterparts.","more are much likely involved in teachers have than they were 50 years ago .  In 2016 , fathers reported spending an average of eight hours a week on teachers have – about triple the than they provided in 1965 .  And fathers put in about 18_ hours a week on household chores in 2016 , up from four hours in 1965 ."
2,multi_col-1808.txt,News Interest vs. News Coverage,"The collapse of Utah’s Crandall Canyon Mine that trapped six mine workers and led to a major rescue effort topped the public’s news interest last week. Overall, nearly three-in-ten Americans (28%) said it was the story they followed more closely than any other. The coal mining accident shared the public’s attention for the most closely followed story of the week with the war in Iraq (16% most closely) and the 2008 presidential campaign (11%). U.S. economic conditions (9%), hot weather (8%), and the Barry Bonds record (7%) each was cited by fewer than one-in-ten Americans.",dataset/multiColumn/imgs/1808.png,dataset/multiColumn/data/1808.csv,"For its part, the media devoted the most coverage to the plight of six miners trapped in a Utah mine dominated public interest. Though coverage of the miners fell off significantly from the previous week, 18 % of the public paid very close attention to the story and roughly the same proportion ( 28 % ) say this was the single news story they followed more closely than any other. In other news this week, interest in the miners remained relatively low, according to a separate analysis by the Pew Research Center's Project for Excellence in Journalism.",Just 0 % followed News about the start of President Hot 's weather to Coverage ; 4 % say this was the News they followed most Coverage .  The weather accounted for 2 % of coverage .
3,multi_col-256.txt,Americans Want to See a More Active Military Role for Germany; Germans Disagree,"German reticence about taking on more international burdens can be seen in public attitudes toward greater sharing of the global security burden. Asked if Germany should play a more active military role in helping to maintain peace and stability in the world, only 25% of Germans agree. Just over two-thirds (69%) believe that, given its history, Germany should limit its military role in world affairs.",dataset/multiColumn/imgs/256.png,dataset/multiColumn/data/256.csv,"Americans want their country to play a more active military role in the world. Nearly seven-in-ten Americans ( 69 % ) want to see the U.S. more involved in the war in Iraq and Syria ; only 25 % want it to play as a less important role. Germans, on the other hand, would like to see their country's military role a little less ( 25 % ).","Those who took the quiz on our website were considerably more knowledgeable than those who responded to our national survey .  Nearly one-third of quiz takers on our website ( 25 % ) aced the test – answering all 69 correctly – compared with just 8 % of Americans nationally .  And nearly one-fourth ( 24 % ) missed only one question , compared with 11 % among the general public ."
4,multi_col-3964.txt,Most Americans say there is too little coverage of issues; candidates’ comments and personal lives seen as most over-covered,"When asked about various topics of campaign coverage, two areas stand out for being over-covered: About four-in-ten say there is too much coverage of candidates’ comments on the campaign trail (44%) and of their personal lives (43%), higher than any other topics asked about. This is followed by coverage of which candidate is leading in the polls (37%) and the candidates’ moral character (30%). Very few say the candidates’ experience (15%) or their stances on issues (13%) have received too much attention.",dataset/multiColumn/imgs/3964.png,dataset/multiColumn/data/3964.csv,"Candida's comments and personal lives are generally seen as more over-covered than in the past. About four-in-ten Americans ( 44 % ) say the election is getting too much coverage, while 15 % say it is getting the right amount of coverage. About half ( 55 % ) of Americans say there is too little coverage of the election, compared with 37 % who say the same about the candidates'personal lives.","Smaller percentages of Americans primary would be more inclined to support a Americans who wants to cut the size of large candida and financial institutions ( 13 percent more likely , 37 percent less likely ) and Candida U.S. tes Candida res other nations ( 34 percent , 30 percent ) .  And while 55 % of Americans voters say they would be more likely to support a Americans who backs the issue nuclear Candida , 13 % would be less likely to favor a Americans who takes this position ."
5,multi_col-2419.txt,Two-thirds of Latino voters say they are ‘fearful’ about the state of the country,"Roughly two-thirds of Latino registered voters (68%) say they are fearful about the state of the nation. Meanwhile, 45% of Latino voters say they are hopeful. These views are similar to those reported in June, and similar to those among U.S. voters overall. Latino voters across demographic groups express similar levels of fear when thinking about the state of the country. By contrast, levels of hope for the country among Latino voters vary by gender and education levels.
 About half of Hispanic men registered to vote (51%) say they feel hopeful about the state of the country, compared with only 36% of Hispanic women voters. Meanwhile, 37% of Hispanic voters with a bachelor’s degree or more say the feel hopeful, while 47% of Hispanic voters with some college experience or less say the same.",dataset/multiColumn/imgs/2419.png,dataset/multiColumn/data/2419.csv,"Two-thirds of Latino registered voters say they are `` fearful '' about the state of the country, according to a new Pew Research Center survey of Latino voters conducted July 27-Aug. 2. The share saying they are fearful has rises from 68 % among those who have a college degree or less to 73 % among voters who have not completed college.","Among Latino and Republican leaners , younger adults country much country views of are and fearful than older adults .  About half ( 52 % ) of Latino ages 18 to 37 country are and fearful country a impact on the country , compared with just 27 % of those 65 and older .  By contrast , there country no significant differences in views among Democrats by age , with comparable majorities of all age voters saying are and fearful country a impact ."
6,two_col-363.txt,Broad Support for Civil Rights Act,"On one hand, Americans continued to support the Civil Rights Act of 1964, at least in principle, but had concerns about its scope and implementation. A Gallup poll in October 1964 reported that the public approved of the new law by nearly two-to-one (58% to 31%). And in April 1965, Gallup found a whopping 76% in favor of a then-proposed equal rights voting law.",dataset/imgs/363.png,dataset/data/363.csv,"The American public supported the civil rights Act of 1964, when Gov. Al Smith signed it into law. The new national survey by the Pew Research Center, conducted May 16 - 22 among 1,501 adults, finds that 58 % approve of the act, while 31 % disapprove.","By more than two-to-one , Americans see more benefits than Approve__ from Civil in the Rights Law .  Broad ( 58 percent ) Support Approve__ Civil in the Rights Law is a Disapprove__ because it opens up Disapprove__ and growth .  Just 58 percent Support that it is Approve__ Disapprove__ the country Disapprove__ it the Disapprove__ to risk and Approve__ ."
7,multi_col-2562.txt,"Across Europe, climate change and ISIS seen as top threats.","Russia’s power and influence is seen as a major threat by a median of four-in-ten across the continent, about the same share that sees U.S. power and influence as a threat (median of 37%). Meanwhile, only 35% see the condition of the global economy as a major threat, as European countries have mostly recovered from the Great Recession and subsequent euro crisis. A median of 31% see China as a major threat.",dataset/multiColumn/imgs/2562.png,dataset/multiColumn/data/2562.csv,"When asked about eight potential threats to their country, climate change is the top threat, according to a Pew Research Center survey conducted April 29 to May 5. The Islamic militant group known as ISIS has also been among the public's top threats for several years.","Moreover , there is a strong desire specific democratic and institutions .  About eight-in-ten ( 81 % ) considered it very important to live in a country with a judicial system that treats everyone in the influence way , while roughly six-in-ten said it is very important to have a free press ( 688 % ) ; free countries ( 61 % ) ; and North , competitive Korea's with at least two political program ( 52 % ) ."
8,multi_col-1941.txt,Publics around world express little confidence in Trump but maintain relatively favorable views of the U.S.,"As has been the case throughout his presidency, U.S. President Donald Trump receives largely negative reviews from publics around the world. Across 32 countries surveyed by Pew Research Center, a median of 64% say they do not have confidence in Trump to do the right thing in world affairs, while just 29% express confidence in the American leader.",dataset/multiColumn/imgs/1941.png,dataset/multiColumn/data/1941.csv,"Around the world, there is little confidence in Donald Trump to do the right thing when it comes to world affairs. Across the 37 countries surveyed, a median of just 15 % have confidence in the U.S. president. While people in most countries express relatively low levels of confidence in Trump, they are roughly twice as likely as those in the West to express confidence in him ( 29 % vs. 29 % ).",
9,multi_col-2921.txt,Population Growth of the World's Largest Religions in India,"India’s massive population includes not only the vast majority of the world’s Hindus, but also the second-largest group of Muslims within a single country, behind only Indonesia. By 2050, India’s Muslim population will grow to 311 million, making it the largest Muslim population in the world, according to Pew Research Center projections. Still, Indian Muslims are projected to remain a minority in their country, making up about 18% of the total population at midcentury, while Hindus figure to remain a majority (about 77%).",dataset/multiColumn/imgs/2921.png,dataset/multiColumn/data/2921.csv,"The number of people living in India has grown at a rapid rate over the past decade or so : The country with the largest population of people, China, India and the U.S., has added nearly 1 million people to its population since 2010, according to a Pew Research Center analysis of government data. The Chinese population grew from 1.4 million in 2010 to 2.2 million in 2017, a 1 % increase. This is largely due to population growth as the population of India has surged.",
