Company_(Location),Revenue_in_billion_U.S._dollars
Cargill_(MN),113.5
Koch_Industries_(KS),110.0
Albertsons_(ID),60.5
Deloitte_(NY),46.2
PricewaterhouseCoopers_(NY),42.4
Mars_(VA),37.0
Ernst_&_Young_(NY),36.4
Publix_Super_Markets_(FL),36.1
Reyes_Holdings_(IL),30.0
Pilot_Flying_J_(TN),29.0
HE_Butt_Grocery_(TX),28.0
C&S_Wholesale_Grocers_(NH),27.0
Enterprise_Holdings_(MO),25.9
Bechtel_(CA),25.5
Cox_Enterprises_(GA),21.0
Fidelity_Investments_(MA),20.4
Love's_Travel_Stops_&_Country_Stores_(OK),20.0
Southern_Glazer's_(FL),19.0
Meijer_(MI),17.8
JM_Family_Enterprises_(FL),16.3
