Response,Share_of_respondents
Equal_pay/fair_pay,39
Equal_opportunity_for_promotion_advancement/no_gender_discrimination,20
Jobs/unemployment/availability_of_jobs,8
Sexual_harassment/better_treatment_more_respect_in_workplace,8
Access_to_childcare/_better_childcare,7
Balancing_work_and_home_life,6
Healthcare,5
Maternity_leave/family_leave/_time_off_for_family_matters,3
Abortion/access_to_contraception,2
The_economy_(non-specific),2
Education/access_to_education,1
Equal_benefits,1
Other,5
No_opinion,16
