Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Finance_insurance_real_estate_rental_and_leasing,10.52
Government_and_government_enterprises,5.09
Educational_services_health_care_and_social_assistance,5.05
Agriculture_forestry_fishing_and_hunting,5.0
Manufacturing,4.52
Retail_trade,3.47
Wholesale_trade,3.16
Professional_and_business_services,3.1
Arts_entertainment_recreation_accommodation_and_food_services,1.67
Construction,1.61
Information,1.57
Transportation_and_warehousing,1.03
Utilities,0.79
Mining_quarrying_and_oil_and_gas_extraction,0.15
