Month,Number_of_cases
Jan_3,2654779
Jan_2,2599789
Jan_1,2542065
Dec_31,2488780
Dec_30,2432888
Dec_29,2382865
Dec_28,2329730
Dec_27,2288345
Dec_26,2257844
Dec_25,2222153
Dec_24,2189428
Dec_23,2149551
Dec_22,2110314
Dec_21,2073511
Dec_20,2040147
Dec_19,2004219
Dec_18,1977167
Dec_17,1948660
Dec_16,1913277
Dec_15,1888116
Dec_14,1869666
Dec_13,1849403
Dec_12,1830956
Dec_11,1809455
Dec_10,1787783
Dec_9,1766819
Dec_8,1750241
Dec_7,1737960
Dec_6,1723242
Dec_5,1705971
Dec_4,1690432
Dec_3,1674134
Dec_2,1659256
Dec_1,1643086
Nov_30,1629657
Nov_29,1617327
Nov_28,1605172
Nov_27,1589301
Nov_26,1574562
Nov_25,1557007
Nov_24,1538794
Nov_23,1527495
Nov_22,1512045
Nov_21,1493383
Nov_20,1473508
Nov_19,1453256
Nov_18,1430341
Nov_17,1410732
Nov_16,1390681
Nov_15,1369318
Nov_14,1344536
Nov_13,1317496
Nov_12,1290195
Nov_11,1256725
Nov_10,1233775
Nov_9,1213363
Nov_8,1192013
Nov_7,1171441
Nov_6,1146484
Nov_5,1123197
Nov_4,1099059
Nov_3,1073882
Nov_2,1053864
Nov_1,1034914
Oct_31,1011660
Oct_30,989745
Oct_29,965340
Oct_28,942275
Oct_27,917575
Oct_26,894690
Oct_25,873800
Oct_24,854010
Oct_23,830998
Oct_22,810467
Oct_21,789229
Oct_20,762542
Oct_19,741212
Oct_18,722409
Oct_17,705428
Oct_16,689257
Oct_15,673622
Oct_14,654644
Oct_13,634920
Oct_12,617688
Oct_11,603716
Oct_10,590844
Oct_9,575679
Oct_8,561815
Oct_7,544275
Oct_6,530113
Oct_5,515571
Oct_4,502978
Oct_3,480017
Oct_2,467146
Oct_1,460178
Sep_30,453264
Sep_29,446156
Sep_28,439013
Sep_27,434969
Sep_26,429277
Sep_25,423236
Sep_24,416363
Sep_23,409729
Sep_22,403551
Sep_21,398625
Sep_20,394257
Sep_19,390358
Sep_18,385936
Sep_17,381614
Sep_16,378219
Sep_15,374228
Sep_14,371125
Sep_13,368504
Sep_12,365174
Sep_11,361677
Sep_10,358138
Sep_9,355219
Sep_8,352560
Sep_7,350100
Sep_6,347152
Sep_5,344164
Sep_4,342351
Sep_3,340411
Sep_2,338676
Sep_1,337168
Aug_31,335873
Aug_30,334467
Aug_29,332752
Aug_28,331644
Aug_27,330368
Aug_26,328846
Aug_25,327798
Aug_24,326614
Aug_23,325761
Aug_22,324601
Aug_21,323313
Aug_20,322280
Aug_19,321098
Aug_18,320286
Aug_17,319197
Aug_16,318484
Aug_15,317444
Aug_14,316367
Aug_13,314927
Aug_12,313798
Aug_11,312789
Aug_10,311641
Aug_9,310825
Aug_8,309763
Aug_7,309005
Aug_6,308134
Aug_5,307184
Aug_4,306293
Aug_3,305623
Aug_2,304695
Aug_1,303952
Jul_31,303181
Jul_30,302301
Jul_29,301455
Jul_28,300692
Jul_27,300111
Jul_26,299426
Jul_25,298681
Jul_24,297914
Jul_23,297146
Jul_22,296377
Jul_21,295817
Jul_20,295372
Jul_19,294792
Jul_18,294066
Jul_17,293239
Jul_16,292552
Jul_15,291911
Jul_14,291373
Jul_13,290133
