Stadium,Venue_construction_costs_in_million_U.S._dollars
American_Airlines_Center_2001,420.0
Prudential_Center_2007,375.0
Staples_Center_1999,375.0
CONSOL_Energy_Center_2010,321.0
Le_Centre_Bell_1996,270.0
Verizon_Center_1997,260.0
Air_Canada_Centre_1999,250.0
Madison_Square_Garden_1991,220.0
Jobing.com_Arena,220.0
Philips_Arena_1999,213.0
Wachovia_Center_1996,210.0
BankAtlantic_Center_1998,185.0
Pepsi_Center_1999,180.0
United_Center_1994,175.0
Scotiabank_Place_1996,170.0
hp_Pavilion_1993,162.5
TD_Banknorth_Garden_1995,160.0
RBC_Center_1999,158.0
Nationwide_Arena_2000,150.0
General_Motors_Place_1995,144.5
St._Pete_Times_Forum_1996,139.0
Scottrade_Center_1994,135.0
Xcel_Energy_Center_2000,130.0
Sommet_Center_1996,130.0
HSBC_Arena_1996,127.5
Honda_Center_1993,123.0
