Year_and_candidates_(winner_in_bold),Electoral_College,Popular_Vote
2020:_Joe_Biden_v_Donald_Trump,13.75,4.4
2016:_Donald_Trump_v_Hillary_Clinton,14.3,-2.1
2012:_Barack_Obama_v_Mitt_Romney,23.24,3.9
2008:_Barack_Obama_v_John_McCain,35.68,7.2
2004:_George_W._Bush_v_John_Kerry,6.5,2.4
2000:_George_W._Bush_v_Al_Gore,0.93,-0.5
1996:_Bill_Clinton_v_Bob_Dole,40.9,8.5
1992:_Bill_Clinton_v_George_H._W._Bush,37.54,5.6
1988:_George_H._W._Bush_v_Michael_S._Dukakis,58.55,7.7
1984:_Ronald_Reagan_v_Walter_F._Mondale,95.16,18.2
1980:_Ronald_Reagan_v_Jimmy_Carter,81.78,9.4
1976:_Jimmy_Carter_v_Gerald_R._Ford,10.59,2
1972:_Richard_Nixon_v_George_S._McGovern,93.49,23.2
1968:_Richard_Nixon_v_Hubert_H._Humphrey,20.45,0.7
1964:_Lyndon_B._Johnson_v_Barry_M._Goldwater,80.66,22.6
1960:_John_F._Kennedy_v_Richard_Nixon,15.54,0.2
1956:_Dwight_D._Eisenhower_v_Adlai_E._Stevenson,70.43,15.4
1952:_Dwight_D._Eisenhower_v_Adlai_E._Stevenson,66.48,10.5
1948:_Harry_S._Truman_v_Thomas_E._Dewey,21.47,4.4
1944:_Franklin_D._Roosevelt_v_Thomas_E._Dewey,62.72,7.5
1940:_Franklin_D._Roosevelt_v_Wendell_L._Wilke,69.16,9.9
1936:_Franklin_D._Roosevelt_v_Alfred_M._Landon,96.98,23.7
1932:_Franklin_D._Roosevelt_v_Herbert_Hoover,77.78,17.7
1928:_Herbert_Hoover_v_Alfred_E._Smith,67.24,17.3
1924:_Calvin_Coolidge_v_John_W._Davis,46.33,25.9
1920:_Warren_G._Harding_v_James_M._Cox,52.16,26.2
1916:_Woodrow_Wilson_v_Charles_E._Hughes,4.33,3.1
1912:_Woodrow_Wilson_v_Theodore_Roosevelt,65.35,14.4
1908:_William_H._Taft_v_William_J_Bryan,32.92,8.6
1904:_Theodore_Roosevelt_v_Alton_B._Parker,41.18,18.8
1896:_William_McKinley_v_William_J._Bryan,21.26,4.3
1892:_Grover_Cleveland_v_Benjamin_Harrison,29.73,3.1
1890:_William_McKinley_v_William_J._Bryan,30.64,6.2
1888:_Benjamin_Harrison_v_Grover_Cleveland,16.2,-0.8
1884:_Grover_Cleveland_v_James_G._Blaine,9.25,0.2
1880:_James_Garfield_v_Winfield_S._Hancock,15.98,0.1
1876:_Rutherford_B._Hayes_v_Samuel_J._Tilden,0.28,-3
1872:_Ulysses_S._Grant_v_Horace_Greeley,81.25,11.8
1868:_Ulysses_S._Grant_v_Horatio_Seymour,45.58,5.4
1864:_Abraham_Lincoln_v_George_B._McClellan,81.98,10
1860:_Abraham_Lincoln_v_John_C._Breckenridge,35.65,21.8
1856:_James_Buchanan_v_John_C._Frémont,20.78,12.2
1852:_Franklin_Pierce_v_Winfield_Scott,71.62,6.9
1848:_Zachary_Taylor_v_Lewis_Cass,12.42,4.8
1844:_James_K_Polk_v_Henry_Clay,23.64,1.4
1840:_William_H._Harrison_v_Martin_Van_Buren,59.18,6.1
1836:_Martin_Van_Buren_v_William_H._Harrison,32.99,14.2
1832:_Andrew_Jackson_v_Henry_Clay,59.44,16.8
1828:_Andrew_Jackson_v_John_Quincy_Adams,36.4,12.4
1824:_John_Quincy_Adams_v_Andrew_Jackson,-5.75,-10.4
1820:_James_Monroe_v_John_Quincy_Adams,97.87,0
1816:_James_Monroe_v_Rufus_King,68.66,0
1812:_James_Madison_v_DeWitt_Clinton,17.98,0
1808:_James_Madison_v_Charles_Pickney,42.85,0
1804:_Thomas_Jefferson_v_Charles_Pickney,84.1,0
1800:_Thomas_Jefferson_v_John_Adams,5.8,0
1796:_John_Adams_v_Thomas_Jefferson,2.17,0
1792:_George_Washington_(Unopposed),100,0
1789:_George_Washington_(Unopposed),100,0
