Month,Total,Patients_in_Japan,Airport_quarantine,Returnees_from_China_on_government_charter_flights
Dec_4_'20,3675244,3337225,337190,829
Dec_3_'20,3636512,3300402,335281,829
Dec_2_'20,3591597,3257166,333602,829
Dec_1_'20,3545916,3212877,332210,829
Nov_30_'20,3502536,3171542,330165,829
Nov_29_'20,3488666,3159567,328270,829
Nov_28_'20,3463672,3137260,325583,829
Nov_27_'20,3418520,3093909,323782,829
Nov_26_'20,3374063,3051275,321959,829
Nov_25_'20,3331392,3010223,320340,829
Nov_24_'20,3286323,2966450,319044,829
Nov_23_'20,3274654,2956890,316935,829
Nov_22_'20,3252523,2936501,315193,829
Nov_21_'20,3225667,2911577,313261,829
Nov_20_'20,3182204,2869807,311568,829
Nov_19_'20,3142664,2831997,309838,829
Nov_18_'20,3106559,2797367,308363,829
Nov_17_'20,3077699,2769733,307137,829
Nov_16_'20,3045924,2739624,305471,829
Nov_15_'20,3035324,2730497,303998,829
Nov_14_'20,3016345,2713846,301670,829
Nov_13_'20,2991064,2689808,300427,829
Nov_12_'20,2959574,2659896,298849,829
Nov_11_'20,2924555,2626215,297511,829
Nov_10_'20,2898421,2601036,296556,829
Nov_9_'20,2871126,2575560,294737,829
Nov_8_'20,2861548,2567556,293163,829
Nov_7_'20_,2846368,2554096,291443,829
Nov_6_'20,2818683,2525859,291995,829
Nov_5_'20,2787543,2496326,290388,829
Nov_4_'20,2764092,2474486,288777,829
Nov_3_'20,2755446,2467009,287608,829
Nov_2_'20,2730524,2445474,284221,829
Nov_1_'20,2721305,2439260,281216,829
Oct_31_'20,2706168,2427862,277477,829
Oct_30_'20,2681667,2406080,274758,829
Oct_29_'20,2658586,2385576,272181,829
Oct_28_'20,2633603,2362512,270262,829
Oct_27_'20,2606199,2336798,268572,829
Oct_26_'20,2581456,2314196,266431,829
Oct_25_'20,2573495,2308769,263897,829
Oct_24_'20,2557214,2295558,260827,829
Oct_23_'20,2531971,2272678,258464,829
Oct_22_'20,2506396,2249260,256307,829
Oct_21_'20,2482485,2227116,254540,829
Oct_20_'20,2465513,2211630,253054,829
Oct_19_'20,2441150,2189710,250611,829
Oct_18_'20,2433665,2184587,248249,829
Oct_17_'20,2421043,2174691,245523,829
Oct_16_'20,2398408,2153990,243589,829
Oct_15_'20,2375927,2133253,241845,829
Oct_14_'20,2352231,2111416,239986,829
Oct_13_'20,2331011,2091588,238594,829
Oct_12_'20,2306033,2068353,236851,829
Oct_11_'20,2299045,2063276,234940,829
Oct_10_'20,2286070,2052473,232768,829
Oct_9_'20,2264683,2032776,231078,829
Oct_8_'20,2241629,2011379,229421,829
Oct_7_'20,2218653,1989978,227846,829
Oct_6_'20,2196831,1969543,226459,829
Oct_5_'20,2173035,1947678,224528,829
Oct_4_'20,2166131,1942750,222552,829
Oct_3_'20,2150084,1929066,220189,829
Oct_2_'20,2125762,1907206,217727,829
Oct_1_'20,2105963,1889535,215599,829
Sep_30_'20,2084894,1870073,213992,829
Sep_29_'20,1979929,1766397,212703,829
Sep_28_'20,1957973,1746647,210497,829
Sep_27_'20,1951249,1742097,208323,829
Sep_26_'20,1938827,1731575,206423,829
Sep_25_'20,1908707,1703049,204829,829
Sep_24_'20,1888156,1684028,203299,829
Sep_23_'20,1859693,1657103,201761,829
Sep_22_'20,1855240,1653717,200694,829
Sep_21_'20,1850661,1650939,198893,829
Sep_20_'20,1842506,1644786,196891,829
Sep_19_'20,1831246,1635256,195161,829
Sep_18_'20,1811516,1617651,193036,829
Sep_17_'20,1786342,1594338,191175,829
Sep_16_'20,1766478,1576024,189625,829
Sep_15_'20,1745311,1555861,188621,829
Sep_14_'20,1718055,1530415,186811,829
Sep_13_'20,1715960,1529943,185188,829
Sep_12_'20,1703734,1519398,183507,829
Sep_11_'20,1685711,1502919,181963,829
Sep_10_'20,1662091,1480613,180649,829
Sep_9_'20,1637723,1457541,179353,829
Sep_8_'20,1622149,1442904,178416,829
Sep_7_'20,1596561,1418892,176840,829
Sep_6_'20,1590895,1414717,175349,829
Sep_5_'20,1577444,1402787,173828,829
Sep_4_'20,1560505,1387330,172346,829
Sep_3_'20,1536221,1364339,171053,829
Sep_2_'20,1510462,1340216,169417,829
Sep_1_'20,1490975,1322085,168061,829
Aug_31_'20,1467132,1300556,165747,829
Aug_30_'20,1455610,1290979,163802,829
Aug_29_'20,1440826,1278064,161933,829
Aug_28_'20,1420589,1259467,160293,829
Aug_27_'20,1397400,1237921,158650,829
Aug_26_'20,1376783,1218568,157386,829
Aug_25_'20,1357628,1200330,156469,829
Aug_24_'20,1333884,1178279,154776,829
Aug_23_'20,1321079,1167326,152924,829
Aug_22_'20,1306128,1153978,151321,829
Aug_21_'20,1282693,1132112,149752,829
Aug_20_'20,1259422,1110223,148370,829
Aug_19_'20,1236180,1088286,147065,829
Aug_18_'20,1214145,1067156,146160,829
Aug_17_'20,1186468,1041321,144318,829
Aug_16_'20,1177313,1033883,142601,829
Aug_15_'20,1164029,1022133,141067,829
Aug_14_'20,1107537,966893,139815,829
Aug_13_'20,1085322,945831,136662,829
Aug_12_'20,1058164,920049,137286,829
Aug_11_'20,1024235,887110,136296,829
Aug_10_'20,1016197,880670,134698,829
Aug_9_'20,1001281,867334,133118,829
Aug_8_'20,986101,853658,131614,829
Aug_7_'20,961915,830960,130126,829
Aug_6_'20,938739,808945,128965,829
Aug_5_'20,897340,769222,127289,829
Aug_4_'20,877134,750482,125823,829
Aug_3_'20,849115,724688,123598,829
Aug_2_'20,836404,714089,121486,829
Aug_1_'20,824748,704483,119436,829
Jul_31_'20,806067,687129,118109,829
Jul_30_'20,785224,667442,116953,829
