Auction_item,Hammer_price_in_thousand_U.S._dollars
Elizabeth_Taylor's_jewelry_set,116000
Marilyn_Monroe's_white_gown_from_The_Seven_Year_Itch,4600
Audrey_Hepburn's_black_dress_from_Breakfast_at_Tiffany's,2600
Elizabeth_Taylor's_evening_and_wedding_gowns,2600
1938_Action_Comics_No._1_(the_edition_introducing_Superman),2100
Michael_Jackson's_jacket_from_the_Thriller_video,1800
Marilyn_Monroe's_dress_from_the_Happy_Birthday_tribute_to_President_Kennedy,1260
Star_Wars_Panavision_R-200_Movie_Camera,625
Marilyn_Monroe's_pink_dress_from_Gentlemen_Prefer_Blondes,310
Luke_Skywalker's_light_saber_from_Star_Wars,240
