Largest_cruise_ships,Length_in_feet
Harmony_of_the_Seas_(Royal_Caribbean_-_2016),1188
Allure_of_the_Seas_(Royal_Caribbean_-_2010),1187
Oasis_of_the_Seas_(Royal_Caribbean_-_2009),1187
Quantum_of_the_Seas_(Royal_Caribbean_-_2014),1141
Anthem_of_the_Seas_(Royal_Caribbean_-_2015),1141
Ovation_of_the_Seas_(Royal_Caribbean_-_2016),1138
Queen_Mary_2_(Cunard_-_2004),1130
Disney_Fantasy_(Disney_Cruise_Line_-_2012),1115
Liberty_of_the_Seas_(Royal_Caribbean_-_2007),1112
Freedom_of_the_Seas_(Royal_Caribbean_-_2006),1112
Independence_of_the_Seas_(Royal_Caribbean_-_2008),1112
MSC_Preziosa_(MSC_Cruises_-_2013),1093
Britannia_(P&O_Cruises_-_2015),1083
Royal_Princess_(Princess_Cruises_-_2013),1083
Regal_Princess_(Princess_Cruises_-_2014),1083
MSC_Divina_(MSC_Cruises_-_2012),1083
MSC_Fantasia_(MSC_Cruises_-_2008),1083
MSC_Splendida_(MSC_Cruises_-_2009),1083
Norwegian_Epic_(Norwegian_Cruise_Line_-_2010),1081
Norwegian_Escape_(Norwegian_Cruise_Line_-_2015),1069
