Country,Population_density_in_inhabitants_per_square_km
Monaco,26150.3
China_Macao_SAR,21419.6
Singapore,8291.9
China_Hong_Kong_SAR,7082.1
Gibraltar,3370.1
Bahrain,2159.4
Holy_See,1815.9
Maldives,1769.8
Malta,1376.2
Bangladesh,1252.6
Bermuda,1250.1
Sint_Maarten_(Dutch_part),1246.7
Channel_Islands,906.6
State_of_Palestine,827.5
Saint-Martin_(French_part),717.0
Mayotte,709.7
China_Taiwan_Province_of_China,671.4
Lebanon,670.2
Barbados,667.5
Mauritius,625.5
Aruba,590.6
San_Marino,564.3
Nauru,537.8
Republic_of_Korea,526.8
Rwanda,511.8
Netherlands,507.0
India,459.6
Comoros,457.2
Burundi,449.0
Saint-Barthelemy,447.6
Haiti,408.7
Israel,393.7
Tuvalu,388.2
Belgium,381.1
Curacao,368.1
Philippines,362.6
Reunion,355.6
Martinique,354.3
Japan,348.0
Sri_Lanka,340.0
Puerto_Rico,330.7
Grenada,329.4
Marshall_Islands,326.6
El_Salvador,311.5
Viet_Nam,311.1
Guam,309.8
Saint_Lucia,299.7
United_States_Virgin_Islands,298.8
Saint_Vincent_and_the_Grenadines,283.6
Pakistan,280.9
