Response,Share_of_respondents
Is_the_person_in_charge_of_buying_food_for_the_household,65.3
Currently_lives_with_their_family,60.9
Prefer_to_do_the_groceries_because_they_choose_products_they_like,25.6
Spends_at_least_500_MEX_when_buying_food,20.2
Writes_a_shopping_list_on_a_piece_of_paper,20.1
Is_the_one_deciding_what_to_buy_in_the_household,19.3
Does_grocery_shopping_alone,18.6
Buys_groceries_on_Wednesday,10.5
The_main_reason_to_do_the_shopping_is_because_they_are_the_ones_paying_for_it_in_the_household,6.9
Does_not_like_to_carry_the_shopping_bags,5.5
