Month,Number_of_affected_brands
Apr_'20,364
Jan_'20,374
Oct_'19,333
Jul_'19,444
Apr_'19,341
Jan_'19,327
Oct_'18,293
Jul_'18,231
Apr_'18,274
Jan_'18,235
Oct_'17,348
Jul_'17,277
Apr_'17,460
Jan_'17,424
Oct_'16,357
Jul_'16,358
Apr_'16,411
Jan_'16,431
Oct_'15,391
Jul_'15,434
Apr_'15,393
Jan_'15,420
Oct_'14,271
Jul_'14,361
Apr_'14,332
Jan_'14,384
Oct_'13,350
Jul_'13,390
Apr_'13,441
Jan_'13,402
Oct_'12,401
Jul_'12,426
Apr_'12,428
Jan_'12,370
Oct_'11,311
Jul_'11,317
Apr_'11,333
Jan_'11,335
Oct_'10,317
Jul_'10,274
Apr_'10,270
Jan_'10,265
Oct_'09,356
Jul_'09,261
Apr_'09,273
Jan_'09,294
