Response,Share_of_respondents
Read_the_privacy_policy_of_an_app_before_I_downloaded_it,44
Updated_critical_software_such_as_OS_or_browser,44
Un-friended_someone,41
Deleted_a_post_I_had_second_thoughts_about,39
Deleted_a_post_or_email_that_I_thought_was_a_phishing_attempt,39
Backed_up_the_data_on_my_laptop_or_desktop,37
Updated_security_software_with_the_latest_version_for_my_computer,34
Searched_my_name_on_the_internet,32
Did_not_download_an_app_because_of_privacy_considerations,31
Abandoned_a_purchase_online_because_of_security_or_privacy_concerns,31
Backed_up_data_on_my_mobile_devices,29
Added_PIN/password_to_a_mobile_device_that_did_not_have_one,28
Added_a_security_software_program_to_a_device_that_did_not_have_one,25
Deleted_an_online_account_I_no_longer_use,25
Asked_someone_to_delete_a_post_with_information_about_me,12
Read_an_article_or_visited_a_website_specifically_to_learn_about_online_safety,12
None,9
