business,Revenue_in_million_U.S._dollars
Wal-Mart_Stores_Inc.,476294
China_Petroleum_&_Chemical_Corporation,459852
China_National_Petroleum_Corporation,444237
Royal_Dutch_Shell_p.l.c.,421105
ExxonMobil_Corporation,394105
BP_p.l.c.,353568
State_Grid_Corporation_of_China,341092
Volkswagen_AG,268872
Toyota_Motor_Corporation,234076
Glencore_p.l.c.,221073
Health_Insurance_Claims_Review_&_Reimbursement_Services,220165
Total_SA,212018
Chevron_Corporation,211970
Samsung_Electronics_Co._Ltd.,195864
Berkshire_Hathaway_Inc.,194673
Apple_Inc.,182795
McKesson_Corporation,179045
Daimler_AG,172475
Allianz_SE,162356
EXOR_SpA,162347
