Fiscal_quarters,Revenue_in_billion_U.S._dollars
Q4_'20,38.03
Q3_'20,35.02
Q2_'20,36.91
Q1_'20,33.06
Q4_'19,33.72
Q3_'19,30.57
Q2_'19,32.47
Q1_'19,29.08
Q4_'18,30.08
Q3_'18,26.82
Q2_'18,28.92
Q1_'18,24.54
Q4_'17,23.3
Q3_'17,22.1
Q2_'17,24.1
Q1_'17,21.93
Q4_'16,20.61
Q3_'16,20.53
Q2_'16,23.8
Q1_'16,20.38
Q4_'15,22.18
Q3_'15,21.73
Q2_'15,26.47
Q1_'15,23.2
Q4_'14,23.38
Q3_'14,20.4
Q2_'14,24.52
Q1_'14,18.53
Q4_'13,19.9
Q3_'13,20.49
Q2_'13,21.46
Q1_'13,16.01
Q4_'12,18.06
Q3_'12,17.41
Q2_'12,20.89
Q1_'12,17.37
Q4_'11,17.37
Q3_'11,16.43
Q2_'11,19.95
Q1_'11,16.2
Q4_'10,16.04
Q3_'10,14.5
Q2_'10,19.02
Q1_'10,12.92
Q4_'09,13.1
Q3_'09,13.65
Q2_'09,16.63
Q1_'09,15.06
Q4_'08,15.84
Q3_'08,14.45
Q2_'08,16.37
Q1_'08,13.76
