Month,Money_supply_in_billion_GBP
Jun_'20,2691.34
May_'20,2676.48
Apr_'20,2641.42
Mar_'20,2605.31
Feb_'20,2484.58
Jan_'20,2456.76
Dec_'19,2446.55
Nov_'19,2428.31
Oct_'19,2420.11
Sep_'19,2423.56
Aug_'19,2429.24
Jul_'19,2420.18
Jun_'19,2414.47
May_'19,2405.93
Apr_'19,2416.96
Mar_'19,2418.26
Feb_'19,2407.08
Jan_'19,2408.78
Dec_'18,2414.2
Nov_'18,2414.27
Oct_'18,2416.13
Sep_'18,2385.45
Aug_'18,2375.69
Jul_'18,2372.89
Jun_'18,2371.17
May_'18,2372.48
Apr_'18,2351.39
Mar_'18,2347.66
Feb_'18,2360.26
Jan_'18,2357.88
Dec_'17,2345.36
Nov_'17,2344.84
Oct_'17,2339.79
Sep_'17,2335.34
Aug_'17,2333.07
Jul_'17,2310.39
Jun_'17,2316.37
May_'17,2309.45
Apr_'17,2302.19
Mar_'17,2295.49
Feb_'17,2287.7
Jan_'17,2281.59
Dec_'16,2279.28
Nov_'16,2277.57
Oct_'16,2289.5
Sep_'16,2274.89
Aug_'16,2269.61
Jul_'16,2256.0
Jun_'16,2246.36
May_'16,2179.89
Apr_'16,2177.51
Mar_'16,2183.74
Feb_'16,2181.97
Jan_'16,2159.78
