Month,Consumer_price_index_(2015_=_100)
May_2020,111.48
Apr_2020,111.01
Mar_2020,110.93
Feb_2020,110.87
Jan_2020,109.31
Dec_2019,109.86
Nov_2019,110.28
Oct_2019,110.39
Sep_2019,110.06
Aug_2019,110.89
Jul_2019,109.92
Jun_2019,110.9
May_2019,110.12
Apr_2019,107.75
Mar_2019,108.23
Feb_2019,108.79
Jan_2019,109.73
Dec_2018,105.31
Nov_2018,106.14
Oct_2018,107.39
Sep_2018,107.19
Aug_2018,107.97
Jul_2018,107.71
Jun_2018,109.33
May_2018,108.39
Apr_2018,108.71
Mar_2018,109.04
Feb_2018,109.67
Jan_2018,108.56
