Year,Debt_limit_in_billion_U.S._dollars
2019_(August)_-_Suspended,21987.7
2017_(September)_-_Suspended,20456.0
2017_(March)_-_Suspended,19808.8
2015_(November)_-_Suspended,18113.0
2013_(February)_-_Suspended,16699.4
2011_(August),16394.0
2010_(February),14294.0
2009_(December),12394.0
2008_(October),11315.0
2007_(September),9815.0
2006_(March),8965.0
2002_(June),6400.0
1996_(March),5500.0
1990_(November),4145.0
1985_(December),2078.7
1980_(December),935.1
1975_(November),595.0
1970_(June),395.0
1965_(June),328.0
1960_(June),293.0
1954_(August),281.0
1945_(April),300.0
1940_(June),49.0
