player,Payroll_in_thousand_U.S._dollars
Nani,2486.25
Dom_Dwyer,1503.33
Sacha_Kljestan,1100.0
Mauricio__Pereyra,1078.0
Lamine__Sane,950.0
Cristian__Higuita,611.66
Oriol__Rosell,522.5
Will__Johnson,491.0
Jhegson_Sebastián__Méndez,486.75
Carlos__Ascues,451.5
Josue__Colman,450.0
Robin__Jansson,289.8
Robinho,205.5
Joao__Moutinho,203.0
Dillon__Powers,200.0
Ruan__Teixeira,160.0
Tesho__Akindele,150.0
Alex__De_John,146.61
Shane__O'Neill,139.5
Benji__Michel,116.25
Danilo__Acosta,110.0
Chris__Mueller,109.38
Cam__Lindley,98.91
Brian__Rowe,98.0
Santiago__Patino,76.78
Adam__Grinwis,70.88
Mason__Stajduhar,70.88
Gregory__Ranjitsingh,70.25
Kyle__Smith,70.25
Kamal__Miller,56.25
