Type,Value_of_transactions_in_million_USD
Peer-to-Peer_consumer_lending,2889.4
Peer-to-Peer_business_lending,996.8
Invoice_trading,803.0
Equity-based_crowdfunding,278.1
Reward-based_crowdfunding,175.4
Real_estate_crowdfunding,600.1
Peer-to-peer_property_lending,144.7
Balance_sheet_business_lending,80.5
Donation-based_crowdfunding,62.4
Debt-based_securities,167.8
Balance_sheet_consumer_lending,99.8
Mini-Bonds,42.8
Revenue_Sharing,3.5
Balance_sheet_property_lending,1378.4
Community_shares,1.6
Other,6.3
