players,Number_of_runs_scored
KC_Sangakkara_DPMD_Jayawardene__(Sri_Lanka_vs_South_Africa_-_2006),624
ST_Jayasuriya_RS_Mahanama__(Sri_Lanka_vs_India_-_1997),576
AH_Jones_MD_Crowe__(New_Zealand_vs_Sri_Lanka_-_1991),467
WH_Ponsford_DG_Bradman__(Australia_vs_England_-_1934),451
Mudassar_Nazar_Javed_Miandad__(Pakistan_vs_India_-_1983),451
AC_Voges_SE_Marsh__(Australia_vs_West_Indies_-_2015),449
CC_Hunte_GS_Sobers__(West_Indies_vs_Pakistan_-_1958),446
MS_Atapattu_KC_Sangakkara__(Sri_Lanka_vs_Zimbabwe_-_2004),438
DPMD_Jayawardene_TT_Samaraweera__(Sri_Lanka_vs_Pakistan_-_2009,437
JA_Rudolph_HH_Dippenaar_(South_Africa_vs_Bangladesh_-_2003),429
