Month,Number_of_new_cases
Dec_16_2020,8815
Dec_15_2020,7012
Dec_14_2020,3542
Dec_13_2020,3058
Dec_12_2020,6542
Dec_11_2020,7723
Dec_10_2020,6705
Dec_9_2020,8397
Dec_8_2020,7451
Dec_7_2020,3775
Dec_6_2020,1803
Dec_5_2020,4866
Dec_4_2020,7340
Dec_3_2020,6989
Dec_2_2020,6547
Dec_1_2020,5815
Nov_30_2020,3487
Nov_29_2020,2754
Nov_28_2020,3825
Nov_27_2020,6463
Nov_26_2020,6906
Nov_25_2020,6062
Nov_24_2020,5676
Nov_23_2020,3875
Nov_22_2020,2423
Nov_21_2020,4496
Nov_20_2020,5462
Nov_19_2020,7628
Nov_18_2020,4962
Nov_17_2020,4460
Nov_16_2020,2544
Nov_15_2020,1582
Nov_14_2020,3515
Nov_13_2020,6738
Nov_12_2020,5634
Nov_11_2020,5757
Nov_10_2020,4557
Nov_9_2020,3726
Nov_8_2020,2098
Nov_7_2020,4453
Nov_6_2020,4455
Nov_5_2020,4746
Nov_4_2020,4485
Nov_3_2020,3610
Nov_2_2020,1570
Nov_1_2020,1298
Oct_31_2020,2987
Oct_30_2020,4056
Oct_29_2020,3262
Oct_28_2020,3390
Oct_27_2020,2415
Oct_26_2020,1070
Oct_25_2020,516
Oct_24_2020,1477
Oct_23_2020,1869
Oct_22_2020,1667
Oct_21_2020,1571
Oct_20_2020,1291
Oct_19_2020,770
Oct_18_2020,321
Oct_17_2020,697
Oct_16_2020,1180
Oct_15_2020,902
Oct_14_2020,968
Oct_13_2020,916
Oct_12_2020,637
Oct_11_2020,161
Oct_10_2020,509
Oct_9_2020,783
Oct_8_2020,834
Oct_7_2020,831
Oct_6_2020,786
Oct_5_2020,374
Oct_4_2020,155
Oct_3_2020,461
Oct_2_2020,712
Oct_1_2020,633
Sep_30_2020,688
Sep_29_2020,613
Sep_28_2020,378
Sep_27_2020,167
Sep_26_2020,325
Sep_25_2020,629
Sep_24_2020,540
Sep_23_3030,553
Sep_22_2020,438
Sep_21_2020,266
Sep_20_2020,133
Sep_19_2020,279
Sep_18_2020,437
Sep_17_2020,389
Sep_16_2020,330
Sep_15_2020,292
Sep_14_2020,220
Sep_13_2020,106
Sep_12_2020,206
Sep_11_2020,291
Sep_10_2020,255
Sep_9_2020,314
Sep_8_2020,236
Sep_7_2020,185
Sep_6_2020,67
Sep_5_2020,171
Sep_4_2020,262
Sep_3_2020,286
Sep_2_2020,213
Sep_1_2020,171
Aug_31_2020,162
Aug_30_2020,48
Aug_29_2020,131
Aug_28_2020,179
Aug_27_2020,202
Aug_26_2020,244
Aug_25_2020,222
Aug_24_2020,174
Aug_23_2020,57
Aug_22_2020,160
Aug_21_2020,298
Aug_20_2020,333
Aug_19_2020,351
Aug_18_2020,314
Aug_17_2020,174
Aug_16_2020,63
Aug_15_2020,226
Aug_14_2020,344
Aug_13_2020,363
Aug_12_2020,443
Aug_11_2020,417
Aug_10_2020,196
Aug_9_2020,73
Aug_8_2020,260
Aug_7_2020,380
Aug_6_2020,378
Aug_5_2020,425
Aug_4_2020,333
Aug_3_2020,165
Aug_2_2020,38
Aug_1_2020,303
Jul_31_2020,258
Jul_30_2020,302
Jul_29_2020,301
Jul_28_2020,283
Jul_27_2020,71
Jul_26_2020,42
Jul_25_2020,138
Jul_24_2020,262
Jul_23_2020,220
Jul_22_2020,297
Jul_21_2020,226
Jul_20_2020,131
Jul_19_2020,110
Jul_18_2020,191
Jul_17_2020,284
Jul_16_2020,268
Jul_15_2020,287
Jul_14_2020,312
Jul_13_2020,170
Jul_12_2020,106
Jul_11_2020,308
Jul_10_2020,369
Jul_09_2020,334
Jul_08_2020,533
Jul_07_2020,278
Jul_06_2020,251
Jul_05_2020,315
Jul_04_2020,364
Jul_03_2020,694
Jul_02_2020,687
Jul_01_2020,684
Jun_30_2020,804
Jun_29_2020,727
Jun_28_2020,415
Jun_27_2020,755
Jun_26_2020,1204
Jun_25_2020,1279
Jun_24_2020,1698
Jun_23_2020,1309
Jun_22_2020,800
Jun_21_2020,321
Jun_20_2020,698
Jun_19_2020,1209
Jun_18_2020,1494
Jun_17_2020,1457
Jun_16_2020,1209
Jun_15_2020,685
Jun_14_2020,418
Jun_13_2020,1032
Jun_12_2020,1329
Jun_11_2020,1293
Jun_10_2020,1437
Jun_09_2020,936
Jun_08_2020,677
Jun_07_2020,462
Jun_06_2020,780
Jun_05_2020,1146
Jun_04_2020,1039
Jun_03_2020,1046
Jun_02_2020,900
Jun_01_2020,648
May_31_2020,265
May_30_2020,432
May_29_2020,773
May_28_2020,774
May_27_2020,800
May_26_2020,746
May_25_2020,491
May_24_2020,210
May_23_2020,403
May_22_2020,532
May_21_2020,610
May_20_2020,808
May_19_2020,666
May_18_2020,430
May_17_2020,259
May_16_2020,358
May_15_2020,688
May_14_2020,657
May_13_2020,698
May_12_2020,754
May_11_2020,455
May_10_2020,279
May_09_2020,509
May_08_2020,700
May_07_2020,784
May_06_2020,745
May_05_2020,657
May_04_2020,477
May_03_2020,261
May_02_2020,299
May_01_2020,532
Apr_30_2020,635
Apr_29_2020,799
Apr_28_2020,742
Apr_27_2020,563
Apr_26_2020,300
Apr_25_2020,473
Apr_24_2020,780
Apr_23_2020,758
Apr_22_2020,722
Apr_21_2020,707
Apr_20_2020,461
Apr_19_2020,388
Apr_18_2020,532
Apr_17_2020,688
Apr_16_2020,623
Apr_15_2020,604
Apr_14_2020,479
Apr_13_2020,437
Apr_12_2020,464
Apr_11_2020,395
Apr_10_2020,454
Apr_09_2020,645
Apr_08_2020,654
Apr_07_2020,738
Apr_06_2020,389
Apr_05_2020,340
Apr_04_2020,357
Apr_03_2020,601
Apr_02_2020,554
Apr_01_2020,486
Mar_31_2020,475
Mar_30_2020,416
Mar_29_2020,280
Mar_28_2020,300
Mar_27_2020,365
Mar_26_2020,286
Mar_25_2020,314
Mar_24_2020,230
Mar_23_2020,182
Mar_22_2020,118
Mar_21_2020,136
Mar_20_2020,180
Mar_19_2020,143
Mar_18_2020,145
Mar_17_2020,119
Mar_16_2020,83
Mar_15_2020,69
Mar_14_2020,71
Mar_13_2020,152
Mar_12_2020,151
Mar_11_2020,196
Mar_10_2020,98
Mar_09_2020,101
Mar_08_2020,46
Mar_07_2020,33
Mar_06_2020,59
Mar_05_2020,25
Mar_04_2020,30
Mar_03_2020,13
Mar_02_2020,5
Mar_01_2020,0
Feb_29_2020,3
Feb_28_2020,8
Feb_27_2020,1
Feb_26_2020,1
Feb_25_2020,0
Feb_24_2020,0
Feb_23_2020,0
Feb_22_2020,0
Feb_21_2020,0
Feb_20_2020,0
Feb_19_2020,0
Feb_18_2020,0
Feb_17_2020,0
Feb_16_2020,0
Feb_15_2020,0
Feb_14_2020,0
Feb_13_2020,0
Feb_12_2020,0
Feb_11_2020,0
Feb_10_2020,0
Feb_09_2020,0
Feb_08_2020,0
Feb_07_2020,0
Feb_06_2020,0
Feb_05_2020,0
Feb_04_2020,1
