table_tennis_player,Number_of_ranking_points
Zhendong_Fan_(China),17001
Xin_Xu_(China),15385
Timo_Boll_(Germany),15205
Gaoyuan_Lin_(China),15189
Dimitrij_Ovtcharov_(Germany),14915
Tomokazu_Harimoto_(Japan),13584
Long_Ma_(China),13500
Sangsu_Lee_(Korea),13374
Hugo_Calderano_(Brazil),13355
Chun_Ting_Wong_(Hong_Kong),12969
Koki_Niwa_(Japan),12466
Jun_Mizutani_(Japan),11970
Simon_Gauzy_(France),11558
Chih-Yuan_Chuang_(Chinese_Taipei),11520
Sangeun_Jeong_(Korea),10808
Marcos_Freitas_(Portugal),10744
Patrick_Franziska_(Germany),10722
Quadri_Aruna_(Nigeria),10684
Kenta_Matsudaira_(Japan),10620
Jonathan_Groth_(Denmark),10592
