Brand/segment,Percent_change_in_sales
Neutrogena_Rapid_Wrinkle_Repair/_facial_anti-aging,29
Simple/_facial_cleansers,26.8
Olay_Regenerist_Micro-Sculpting/_facial_anti-aging,15
Garnier_SkinRenew/_facial_anti-aging,13.2
Clearasil_Ultra_Rapid_Action/_acne_treatments,9.3
Cetaphil/_facial_cleansers,8.8
Johnson's_Clean_&_Clear_Morning_Burst/_facial_cleansers,6.9
Neutrogena_Moisture/_facial_moisturizer,3.6
L'Oréal_Revitalift/_facial_anti-aging,2.2
RoC_Retinol_Deep_Wrinkle/_facial_anti-aging,-0.4
Nair/_depilatories,-1.3
Neutrogena_Deep_Clean/_facial_cleansers,-2.5
Neutrogena_Oil-Free_Acne_Wash/_acne_treatment,-3.6
Olay_Total_Effects_7-in-1/_facial_anti-aging,-5.2
Pond's/_facial_cleanser,-5.4
Olay_Age-Defying/_facial_anti-aging,-6.7
Bioré/_facial_cleansers,-8.6
Olay/_facial_cleanser,-12.3
Olay_Complete/_facial_moisturizers,-14.1
Olay_Regenerist/_facial_anti-aging,-17.4
