basketball_team,Twitter_followers_in_millions
NBA,26.49
Los_Angeles_Lakers,7.39
Golden_State_Warriors,5.63
Miami_Heat,4.68
Chicago_Bulls,4.09
San_Antonio_Spurs,3.32
Boston_Celtics,3.21
Cleveland_Cavaliers,3.16
Oklahoma_City_Thunder,2.55
Houston_Rockets,2.54
New_York_Knicks,2.07
Orlando_Magic,1.59
Toronto_Raptors,1.5
Dallas_Mavericks,1.48
Philadelphia_76ers,1.46
Los_Angeles_Clippers,1.37
Atlanta_Hawks,1.19
Portland_Trailblazers,1.13
Indiana_Pacers,1.11
Phoenix_Suns,0.99
Sacramento_Kings,0.96
Memphis_Grizzlies,0.92
Brooklyn_Nets,0.88
Charlotte_Hornets,0.88
Milwaukee_Bucks,0.87
Minnesota_Timberwolves,0.85
Washington_Wizards,0.85
Detroit_Pistons,0.85
New_Orleans_Pelicans,0.8
Utah_Jazz,0.79
Denver_Nuggets,0.79
