Year,Democrat,Republican
116th_Congress_2019,235,197
115th_Congress_2017,194,241
114th_Congress_2015,188,245
113th_Congress_2013,201,232
112th_Congress_2011,193,242
111th_Congress_2009,256,178
110th_Congress_2007,233,202
109th_Congress_2005,202,231
108th_Congress_2003,205,229
107th_Congress_2001,211,221
106th_Congress_1999,212,222
105th_Congress_1997,207,226
104th_Congress_1995,197,236
103d_Congress_1993,258,176
102d_Congress_1991,267,167
101st_Congress_1989,259,174
100th_Congress_1987,258,177
99th_Congress_1985,252,182
98th_Congress_1983,269,165
