Month,Inflation_rate
Jul_'20,0.7
Jun_'20,1
May_'20,0.4
Apr_'20,0.3
Mar_'20,-0.3
Feb_'20,-1.3
Jan_'20,-1
Dec_'19,-0.7
Nov_'19,-1.2
Oct_'19,-1.2
Sep_'19,-0.3
Aug_'19,0.3
Jul_'19,-0.4
Jun_'19,0.1
May_'19,0.2
Apr_'19,1.2
Mar_'19,1
Feb_'19,1.5
Jan_'19,0.8
Dec_'18,1.5
Nov_'18,1.3
Oct_'18,1.7
Sep_'18,1.5
Aug_'18,1.1
Jul_'18,1.5
Jun_'18,2.1
May_'18,1.6
Apr_'18,1.4
Mar_'18,0.9
Feb_'18,-0.4
Jan_'18,1
Dec_'17,0.6
Nov_'17,0.3
Oct_'17,0.4
Sep_'17,0.3
Aug_'17,-0.4
Jul_'17,0.3
Jun_'17,-0.6
May_'17,0.7
Apr_'17,0
Mar_'17,0.6
Feb_'17,1.8
Jan_'17,0.9
Dec_'16,0.9
Nov_'16,0.8
Oct_'16,0.8
Sep_'16,0.6
Aug_'16,1.3
Jul_'16,1.2
Jun_'16,0.6
May_'16,0.2
Apr_'16,0.1
Mar_'16,-0.1
Feb_'16,-0.4
Jan_'16,-1.4
Dec_'15,-1.2
Nov_'15,-0.6
Oct_'15,-0.6
Sep_'15,-1.3
Aug_'15,-1.1
Jul_'15,-1.5
Jun_'15,-0.8
May_'15,-1.2
