Month,Consumer_price_index
Aug_20,116.9
Jul_20,117.5
Jun_20,117.1
May_20,117.4
Apr_20,117.0
Mar_20,116.2
Feb_20,115.8
Jan_20,115.7
Dec_19,113.1
Nov_19,114.7
Oct_19,114.9
Sep_19,114.5
Aug_19,114.7
Jul_19,114.5
Jun_19,114.7
May_19,114.4
Apr_19,114.1
Mar_19,114.6
Feb_19,115.0
Jan_19,114.0
Dec_18,111.3
Nov_18,112.5
Oct_18,111.1
Sep_18,111.2
Aug_18,111.1
Jul_18,110.3
Jun_18,110.6
May_18,110.8
Apr_18,109.8
Mar_18,108.9
Feb_18,109.4
Jan_18,109.4
Dec_17,107.0
Nov_17,106.4
Oct_17,106.8
Sep_17,106.9
Aug_17,106.7
Jul_17,106.6
Jun_17,106.3
May_17,106.5
Apr_17,105.6
Mar_17,105.2
Feb_17,103.5
Jan_17,103.6
Dec_16,101.3
Nov_16,101.8
Oct_16,102.4
Sep_16,102.5
Aug_16,102.1
