State,Number_of_green_card_recipients
California,193093
New_York,124026
Florida,118140
Texas,107955
New_Jersey,48754
Illinois,37958
Massachusetts,30834
Georgia,27246
Washington,25570
Pennsylvania,25329
Virginia,24784
Maryland,22304
North_Carolina,18419
Arizona,18181
Michigan,17414
Ohio,16467
Minnesota,13833
Colorado,13558
Nevada,11718
Connecticut,10630
Tennessee,9507
Indiana,8527
Oregon,8521
Wisconsin,7138
Missouri,6900
Utah,6838
Kentucky,6006
Iowa,5534
Kansas,5139
Louisiana,5116
Hawaii,4917
South_Carolina,4675
Oklahoma,4642
Nebraska,4279
New_Mexico,3736
Alabama,3669
Rhode_Island,3445
Arkansas,2915
Puerto_Rico,2555
District_of_Columbia,2398
Idaho,2312
Delaware,2084
New_Hampshire,2046
Mississippi,1687
North_Dakota,1494
Alaska,1374
Maine,1361
Other,1295
South_Dakota,1199
Guam,1011
West_Virginia,817
Unknown,812
Vermont,648
Montana,545
Wyoming,410
