ice_hockey_team,Number_of_followers_in_thousands
Pittsburgh_Penguins,1452
Chicago_Blackhawks,1340
Boston_Bruins,1263
Toronto_Maple_Leafs,1017
New_York_Rangers,967
Washington_Capitals,757
Detroit_Red_Wings,743
Vegas_Golden_Knights,658
Montreal_Canadiens,645
Los_Angeles_Kings,612
Edmonton_Oilers,586
St_Louis_Blues,580
Philadelphia_Flyers,569
Tampa_Bay_Lightning,518
San_Jose_Sharks,509
Vancouver_Canucks,443
Dallas_Stars,418
Colorado_Avalanche,418
Minnesota_Wild,413
Winnipeg_Jets,404
Nashville_Predators,387
Calgary_Flames,380
Buffalo_Sabres,361
Anaheim_Ducks,357
Columbus_Blue_Jackets,347
New_York_Islanders,323
New_Jersey_Devils,311
Carolina_Hurricanes,309
Ottawa_Senators,287
Arizona_Coyotes,257
Florida_Panthers,232
