Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Mining_quarrying_and_oil_and_gas_extraction,9.8
Government_and_government_enterprises,5.53
Finance_insurance_real_estate_rental_and_leasing,4.76
Transportation_and_warehousing,3.39
Manufacturing,2.4
Retail_trade,2.0
Professional_and_business_services,1.89
Educational_services_health_care_and_social_assistance,1.73
Construction,1.69
Arts_entertainment_recreation_accommodation_and_food_services,1.37
Wholesale_trade,1.34
Agriculture_forestry_fishing_and_hunting,1.08
Utilities,0.9
Information,0.74
