control_point,Number_of_passengers_in_thousands
Lo_Wu_Control_Point,38496.46
Lok_Ma_Chau_Spur_Line_Control_Point,25310.1
Airport,24842.87
Shenzhen_Bay_Control_Point,19231.93
Lok_Ma_Chau_Control_Point,13041.63
Macau_Ferry_Terminal_by_ferry,5088.69
China_Ferry_Terminal,1824.68
Express_Rail_Link_West_Kowloon_Control_Point,8447.72
Man_Kam_To_Control_Point,1931.05
Hong_Kong-Zhuhai-Macao_Birdge_Control_Point,8858.62
Hung_Hom_Control_Point,983.89
Sha_Tau_Kok_Control_Point,1361.67
Kai_Tak_Cruise_Terminal,798.41
Tuen_Mun_Ferry_Terminal,260.56
Harbour_Control,30.16
Macau_Ferry_Terminal_by_helicopter,11.24
River_Trade_Terminal,0.07
