Occupation,Average_usual_weekly_hours
Natural_resources_agriculture_and_related_production_occupations,40.7
Management_occupations,40.4
Trades_transport_and_equipment_operators_and_related_occupations,40.2
Occupations_in_manufacturing_and_utilities,39.4
Natural_and_applied_sciences_and_related_occupations,38.2
Total_all_occupations,35.8
Business_finance_and_administration_occupations,35.4
Health_occupations,34.5
Occupations_in_education_law_and_social_community_and_government_services,34.2
Sales_and_service_occupations,31.1
Occupations_in_art_culture_recreation_and_sport,30.3
