name_of_global_event,Tweets_per_second
Castle_in_the_Sky_on_TV_(Dec_9_'11),25088
Euro_2012_Finale_Spain's_4th_goal_against_Italy_(Jul_1_'12),15358
Madonna's_Super_Bowl_Halftime_Performance_(Feb_5_'12),10245
Last_minutes_of_Superbowl_XLVI_(Feb_5_'12),10245
Tim_Tebow's_Overtime_Touchdown_Pass_(Jan_6_'12),9420
Beyonce_at_the_VMAs_(Aug_28_'11),8868
Execution_of_Troy_Davis_(Sep_20_'11),7671
End_of_FIFA_Women's_World_Cup_(Jul_17_'11),7196
Brazil_eliminated_from_the_Copa_America_(Jul_17_'11),7166
Steve_Jobs_resigns_(Aug_25_'11),7064
New_Year's_Day_in_Japan_(Jan_1_'11),6939
BET_Awards_(Jun_27_'11),6436
UEFA_Champions_League_(May_28_'11),6303
Steve_Jobs_passes_away_(Oct_6_'11),6049
NBA_Finals_Lebron_Tweet_(Jun_13_'11),5531
Japanese_earthquake_and_tsunami_(Mar_11_'11),5530
