Month,Price_in_GBP_per_kilogram
Nov_'19,0.85
Oct_'19,0.82
Sep_'19,0.93
Apr_'19,0.71
Mar_'19,0.76
Feb_'19,0.76
Jan_'19,0.72
Dec_'18,0.74
Nov_'18,0.78
Oct_'18,1.0
Sep_'18,0.87
Apr_'18,0.74
Mar_'18,0.67
Feb_'18,0.7
Jan_'18,0.67
Dec_'17,0.69
Nov_'17,0.68
Oct_'17,0.74
Sep_'17,0.98
Aug_'17,1.21
Apr_'17,0.8
Mar_'17,0.79
Feb_'17,0.81
Jan_'17,0.86
Dec_'16,1.06
Nov_'16,0.76
Oct_'16,0.77
Sep_'16,1.01
Aug_'16,0.63
Mar_'16,0.61
Feb_'16,0.58
Jan_'16,0.61
Dec_'15,0.6
Nov_'15,0.63
Oct_'15,0.69
Sep_'15,0.81
Aug_'15,1.06
Apr_'15,0.57
Mar_'15,0.58
Feb_'15,0.55
Jan_'15,0.55
