Month,Infected,Cured,Deaths
Feb_27,1,0,0
Feb_28,1,0,0
Feb_29,1,0,0
Mar_01,1,0,0
Mar_02,1,0,0
Mar_03,2,0,0
Mar_04,2,0,0
Mar_05,3,0,0
Mar_06,10,0,0
Mar_07,10,0,0
Mar_08,10,0,0
Mar_09,10,0,0
Mar_10,12,0,0
Mar_11,16,0,0
Mar_12,17,0,0
Mar_13,79,0,0
Mar_14,115,0,0
Mar_15,171,1,0
Mar_16,205,1,0
Mar_17,225,1,0
Mar_18,258,1,0
Mar_19,267,1,0
Mar_20,283,2,0
Mar_21,306,2,0
Mar_22,326,4,0
Mar_23,352,7,0
Mar_24,369,8,0
Mar_25,404,8,1
Mar_26,538,11,1
Mar_27,575,11,1
Mar_28,640,20,1
Mar_29,679,20,3
Mar_30,715,20,3
Mar_31,745,26,4
Apr_1,779,33,5
Apr_2,858,45,11
Apr_3,961,48,12
Apr_4,1018,59,13
Apr_5,1097,62,15
Apr_6,1108,62,19
Apr_7,1149,69,21
Apr_8,1185,72,24
Apr_9,1207,83,24
Apr_10,1258,93,24
Apr_11,1304,93,24
Apr_12,1309,98,25
Apr_13,1332,102,28
Apr_14,1373,115,31
Apr_15,1400,117,35
Apr_16,1437,133,36
Apr_17,1459,145,38
Apr_18,1512,162,38
Apr_19,1528,164,40
Apr_20,1535,165,40
Apr_21,1552,169,43
Apr_22,1559,184,44
Apr_23,1592,192,45
Apr_24,1605,206,46
Apr_25,1635,228,46
Apr_26,1643,233,49
Apr_27,1647,233,50
Apr_28,1660,233,50
Apr_29,1666,236,50
Apr_30,1689,249,52
May_1,1694,253,52
May_2,1699,256,53
May_3,1700,247,55
May_4,1703,247,55
May_5,1711,254,55
May_6,1713,257,55
May_7,1720,264,56
May_8,1725,268,56
May_9,1733,276,60
May_10,1739,276,60
May_11,1741,278,61
May_12,1746,280,61
May_13,1751,282,61
May_14,1758,284,62
May_15,1766,287,63
May_16,1770,289,63
May_17,1774,289,63
May_18,1784,290,64
May_19,1791,298,64
May_20,1794,305,64
May_21,1800,311,64
May_22,1807,314,64
May_23,1821,317,64
May_24,1823,317,64
May_25,1824,318,65
May_26,1834,322,65
May_27,1840,327,66
May_28,1851,328,66
May_29,1859,329,67
May_30,1865,334,67
May_31,1869,334,68
Jun_1,1870,334,68
Jun_2,1870,334,68
Jun_3,1880,342,69
Jun_4,1890,342,69
Jun_5,1910,347,69
Jun_6,1931,350,69
Jun_7,1939,350,69
Jun_8,1940,350,69
Jun_9,1947,352,69
Jun_10,1958,353,69
Jun_11,1965,355,69
Jun_12,1970,357,69
Jun_13,1973,357,69
Jun_14,1973,357,69
Jun_15,1974,357,69
Jun_16,1975,358,69
Jun_17,1977,361,69
Jun_18,1977,362,69
Jun_19,1979,365,69
Jun_20,1981,370,69
Jun_21,1981,370,69
Jun_22,1981,370,69
Jun_23,1982,372,69
Jun_24,1983,372,69
Jun_25,1984,385,69
Jun_26,1986,386,69
Jun_29,1987,388,69
Jun_30,1989,389,69
Jul_1,1989,389,69
Jul_3,1991,391,69
Jul_6,1994,391,69
Jul_10,2013,391,69
Jul_13,2014,392,69
Jul_20,2021,1912,69
Jul_27,2034,1923,69
Aug_3,2080,1935,63
Aug_10,2158,1962,63
Aug_14,2177,1976,63
Aug_24,2275,2025,64
Aug_31,2375,2088,64
Sep_7,2532,2176,64
Oct_12,3883,2967,68
Oct_20,4127,3270,71
Nov_4,5125,3904,73
Nov_12,6881,4453,76
Nov_20,9076,5296,87
