Causes,Total_amount_donated_in_million_U.S._dollars
Human_Services,89.0
Education,45.4
Health_Care,39.9
International_Foreign_Affairs_&_National_Security,31.0
Youth_Development,30.9
Philanthropy_Voluntarism_&_Grantmaking_Foundations,29.6
Housing_&_Shelter,23.6
Animal-Related,23.5
Religion-Related,22.6
Food_Agriculture_&_Nutrition,22.4
Civil_Rights_Social_Action_&_Advocacy,21.7
Community_Improvement_&_Capacity_Building,20.6
Arts_Culture_&_Humanities,20.5
Voluntary_Health_Associations_&_Medical_Disciplines,19.8
Public_&_Societal_Benefit,19.2
Public_Safety_Disaster_Preparedness_&_Relief,16.8
Crime_&_Legal-Related,14.7
Environment,14.7
Mental_Health_&_Crisis_Intervention,12.3
Recreation_&_Sports,11.3
Medical_Research,10.9
Employment,7.51
Science_&_Technology,2.39
Social_Science,1.88
Mutual_&_Membership_Benefit,0.84
