nonprofit_organization,Support_in_billion_U.S._dollars
United_Way_Worldwide,3.3
Feeding_America,2.76
Task_Force_for_Global_Health,2.61
Salvation_Army,2.01
St._Jude_Children's_Research_Hospital,1.72
American_National_Red_Cross,1.52
Direct_Relief,1.44
Habitat_for_Humanity_International,1.36
YMCA_of_the_USA,1.07
Americares_Foundation,1.04
Boys_&_Girls_Clubs_of_America,1.03
Compassion_International,0.95
Food_for_the_Poor,0.93
Goodwill_Industries_International,0.88
Nature_Conservancy,0.83
Lutheran_Services_in_America,0.81
Catholic_Medical_Mission_Board,0.73
Step_Up_for_Students,0.72
World_Vision,0.72
Catholic_Charities_USA,0.71
