player,Payroll_in_thousand_U.S._dollars
Bastian_Schweinsteiger,5600.0
Nicolas_Gaitan,2197.5
Nemanja_Nikolic,1913.33
Aleksandar_Katai,1380.33
Marcelo_Ferreira,797.5
Dax_McCarty,700.0
Francisco_Calvo,672.6
Przemyslaw_Frankoswki,661.69
Johan_Kappelhof,577.83
CJ_Sapong,475.0
David_Ousted,361.14
Jonathan_Bornstein,263.2
Richard__Sanchez,152.5
Kenneth__Kronholm,151.0
Micheal__Azira,146.63
Fabian__Herbers,135.0
Djordje__Mihailovic,114.6
Grant__Lillard,97.5
Brandt__Bronico,90.62
Cristian__Martinez,88.41
Gabriel__Slonina,74.8
Diego__Campos,72.83
Amando__Moreno,72.75
Stefan_Cleveland,70.25
Raheem__Edwards,70.25
Andre__Reynolds,64.25
Elliot__Collier,57.23
Jeremiah__Gutjahr,56.25
