Month,Price_in_GBP_per_kilogram
Nov_'19,2.12
Oct_'19,2.18
Sep_'19,2.25
Aug_'19,1.53
Jul_'19,1.18
Jun_'19,1.19
May_'19,1.28
Apr_'19,2.06
Mar_'19,2.22
Jan_'19,2.75
Dec_'18,1.05
Nov_'18,0.98
Oct_'18,2.75
Sep_'18,1.77
Aug_'18,1.05
Jul_'18,1.06
Jun_'18,0.98
May_'18,1.62
Apr_'18,1.5
Dec_'17,1.0
Nov_'17,1.35
Oct_'17,1.11
Sep_'17,1.23
Aug_'17,0.99
Jul_'17,1.0
Jun_'17,1.02
May_'17,1.1
Apr_'17,1.27
Dec_'16,0.9
Nov_'16,1.24
Oct_'16,1.13
Sep_'16,1.15
Aug_'16,1.0
Jul_'16,0.81
Jun_'16,0.77
May_'16,0.91
Apr_'16,1.24
Mar_'16,4.0
Nov_'15,1.03
Oct_'15,1.55
Sep_'15,1.64
Aug_'15,0.99
Jul_'15,0.89
Jun_'15,0.93
May_'15,1.07
Apr_'15,0.99
Mar_'15,0.74
