Response,Share_of_respondents
Get_exercise,61
Keep_physically_fit,45
Be_with_family_and_friends,39
Observe_scenic_beauty,33
Be_close_to_nature,32
Enjoy_the_sounds_and_smells_of_nature,31
Be_with_people_who_enjoy_the_same_things_I_do,29
Get_away_from_the_usual_demands,29
Experience_excitement_and_adventure,26
Because_it_is_cool,22
Develop_my_skills_and_abilities,21
Be_with_people_who_share_my_values,19
Experience_solitude,18
Gain_a_sense_of_accomplishment,18
Gain_a_sense_of_self-confidence,16
Talk_to_new_and_varied_people,15
Other_reason(s),3
