Month,Chrome,Firefox,Safari,Edge,Edge_(legacy),Opera,Internet_Explorer
Sep_20,47.72,23.08,10.29,7.76,1.75,3.92,4.43
Jul_20,48.86,22.27,9.94,5.8,3.12,4.34,4.29
May_20,47.41,22.5,10.84,1.2,8.59,4.31,3.99
Mar_20,44.65,25.51,11.55,0.6,8.01,4.29,4.35
Jan_20,44.86,25.35,11.21,0.02,8.2,3.94,5.34
Nov_19,44.74,25.5,11.38,0,7.61,3.68,5.98
Sep_19,44.17,25.5,8.78,0,7.49,3.91,9.06
Jul_19,47.16,25.47,6.93,0,7.29,3.72,8.31
May_19,45.54,26.68,7.52,0,7.54,3.86,7.82
Mar_19,44.6,26.09,7.74,0,7.58,4.05,8.96
Jan_19,45.72,26.09,7.32,0,7.13,3.71,9.04
Nov_18,50.88,23.91,6.71,0,6.31,3.14,8.28
Sep_18,41.89,28.53,7.38,0,7.21,3.72,10.22
Jul_18,38.9,29.38,7.2,0,7.22,3.87,12.5
May_18,40.69,29.22,7.33,0,7.19,3.84,10.52
Maz_18,40.08,29.55,7.63,0,7.31,3.67,10.7
Jan_18,39.23,29.94,7.95,0,7.11,3.64,10.88
Nov_17,38.22,31.11,7.9,0,6.63,3.78,10.99
Sep_17,33.53,35.68,7.38,0,6.2,4.54,11.55
Jul_17,33.83,35.21,7.53,0,6.31,3.85,12.02
May_17,34.56,35.65,7.32,0,5.8,3.77,11.34
Mar_17,33.13,37.3,6.95,0,5.56,3.51,11.95
Jan_17,33.91,37.15,6.97,0,5.45,2.62,12.23
Nov_16,34.82,37.03,6.75,0,4.6,3.12,11.89
Sep_16,34.76,37.52,6.24,0,4.58,2.5,13.06
Jul_16,33.89,37.88,6.17,0,4.24,2.46,14.14
May_16,34.74,38.03,6.2,0,3.54,2.78,13.55
Mar_16,33.81,38.3,5.98,0,3.04,2.91,14.59
Jan_16,33.64,38.36,6.22,0,2.61,2.98,14.99
Nov_15,32.66,39.08,6.13,0,1.81,2.84,16.26
Sep_15,29.76,41.98,5.73,0,1.39,3.04,17.01
Jul_15,28.28,43.55,5.27,0,0.07,3.09,18.74
May_15,28.46,44.21,5.59,0,0,3.08,17.61
Mar_15,28.56,43.85,5.89,0,0,3.08,17.58
Jan_15,27.11,44.44,5.65,0,0,3.17,18.61
Nov_14,27.67,45.54,5.59,0,0,2.79,17.43
Sep_14,27.63,45.75,5.21,0,0,2.74,17.64
Jul_14,27.62,46.59,5.12,0,0,2.69,16.94
May_14,27.04,46.56,5.53,0,0,2.57,17.3
Mar_14,25.81,46.5,5.55,0,0,2.57,18.48
Jan_14,25.81,45.49,5.5,0,0,2.48,18.96
Nov_13,24.39,41.98,5.02,0,0,2.25,24.46
Sep_13,24.1,45.77,5.11,0,0,2.27,20.81
Jul_13,24.54,46.82,4.95,0,0,2.31,19.38
May_13,24.26,48.8,4.83,0,0,2.16,18.59
Mar_13,21.53,46.95,4.51,0,0,2.17,23.72
Jan_13,20.96,47.06,4.67,0,0,2.06,24.3
Nov_12,20.25,49.96,4.72,0,0,2.46,21.68
Sep_12,17.98,48.85,4.59,0,0,3.27,24.35
Jul_12,16.8,48.24,6.2,0,0,3.34,23.89
May_12,15.92,50.06,6.03,0,0,3.49,23.14
Mar_12,15.23,50.01,5.63,0,0,3.39,24.76
Jan_12,14.32,50.98,5.46,0,0,3.34,24.83
Nov_11,12.95,52.26,4.93,0,0,3.7,25.16
Sep_11,10.64,51.02,4.31,0,0,3.59,29.55
Jul_11,10.62,54.59,4.46,0,0,3.73,25.67
May_11,11.28,58.09,4.51,0,0,3.44,21.87
Mar_11,10.36,58.65,4.48,0,0,3.59,22.24
Jan_11,8.86,60.92,4.74,0,0,3.61,21.19
Nov_10,7.49,62.25,4.45,0,0,3.54,21.61
Sep_10,6.34,61.46,4.12,0,0,4.23,23.09
Jul_10,5.05,58.99,3.81,0,0,4.7,26.33
May_10,4.38,59.8,3.6,0,0,4.64,26.4
Mar_10,3.68,60.31,3.52,0,0,4.36,26.95
Jan_10,3.14,60.87,3.31,0,0,4.41,26.74
Nov_09,2.53,59.21,2.97,0,0,4.43,29.27
Sep_09,2.08,59.48,2.93,0,0,4.4,29.68
Jul_09,1.94,61.15,2.66,0,0,4.08,28.99
May_09,1.5,60.04,2.13,0,0,4.24,30.69
Mar_09,0.91,58.59,2.04,0,0,4.04,33.21
Jan_09,0.81,58.31,1.97,0,0,3.99,33.63
