Type_of_program,Number_of_students
Undergraduate_program,1057440
Career_technical_or_professional_training_program,511905
Graduate_program_(second_cycle),153003
Pre-university_program,87411
Non-program_(credit_undergraduate),66042
Non-program_(non-credit),62187
Graduate_program_(third_cycle),54303
Basic_education_and_skills_program,27717
Post-baccalaureate_non-graduate_program,22047
Post_career_technical_or_professional_training_program,20808
Qualifying_program_for_career_technical_or_pre-university,18696
Health-related_residency_program,15678
Non-program_(credit_other_postsecondary),9618
Non-program_(credit_graduate),4329
Other_programs,2460
Undergraduate_qualifying_program,2250
Graduate_qualifying_program_(second_cycle),102
Graduate_program_(above_the_third_cycle),3
Graduate_qualifying_program_(third_cycle),3
