sector,Average_annual_salary_in_yuan
Information_transmission_computer_services_and_software,161352
Scientific_research_technical_service_and_geologic_prospecting,133459
Financial_intermediation,131405
Health_social_security_and_social_welfare,108903
Production_and_distribution_of_electricity_gas_and_water,107733
Culture_sports_and_entertainment,107708
Education,97681
Traffic_transport_storage_and_post,97050
Public_management_and_social_organization,94369
Mining,91068
Average,90501
Wholesale_and_retail_trades,89047
Leasing_and_business_services,88190
Real_estate,80157
Manufacturing,78147
Construction,65580
Management_of_water_conservancy_environment,61158
Services_to_households_and_other_services,60232
Hotels_and_catering_services,50346
Agriculture_forestry_animal_husbandry_and_fishery,39340
