Month,Number_of_viewers_in_thousands
November_2020,26.59
October_2020,29.58
September_2020,19.54
August_2020,13.13
July_2020,8.61
June_2020,8.62
May_2020,9.35
April_2020,11.45
March_2020,14.18
February_2020,12.48
January_2020,7.64
December_2019,8.38
November_2019,7.85
October_2019,9.01
September_2019,4.88
August_2019,5.18
July_2019,4.88
June_2019,8.17
May_2019,7.76
April_2019,7.4
March_2019,4.9
February_2019,5.6
January_2019,5.01
December_2018,4.14
November_2018,7.56
October_2018,7.21
September_2018,8.78
August_2018,5.23
July_2018,4.84
June_2018,5.71
May_2018,3.02
April_2018,7.61
March_2018,7.43
February_2018,2.59
January_2018,3.39
