Christmas_movie,Box_office_revenue_in_U.S._million_dollars
Home_Alone(1990),285.76
Dr._Seuss'_The_Grinch_(2018),270.52
How_the_Grinch_StoleChristmas_(2000),260.04
The_Polar_Express(2004),157.22
Elf(2003),173.84
Home_Alone_2:_Lost_in_New_York(1992),173.59
The_Santa_Clause(1994),144.83
The_Santa_Clause_2(2002),139.24
A_Christmas_Carol(2009),137.86
Four_Christmases(2008),120.15
Daddy's_Home_2(2017),104.03
The_Santa_Clause_3:The_Escape_Clause_(2006),84.5
Tim_Burton's_NightmareBefore_Christmas_(1993),75.08
Christmas_with_the_Kranks(2004),73.78
A_Bad_Moms_Christmas(2017),72.11
Fred_Claus(2007),72.01
Christmas_Vacation(1996),71.32
The_Best_Man_Holiday(2013),70.53
Jingle_All_the_Way(1996),60.59
Scrooged(1988),60.33
