Month,Market_capitalization_in_million_euros
Sep_2020,15803.64
Aug_2020,18761.42
Jul_2020,17532.36
Jun_2020,18288.99
May_2020,17161.31
Apr_2020,15962.26
Mar_2020,16072.68
Feb_2020,25694.65
Jan_2020,27147.84
Dec_2019,29179.65
Nov_2019,28098.4
Oct_2019,25308.35
Sep_2019,24228.42
Aug_2019,22645.35
Jul_2019,23841.14
Jun_2019,24169.42
May_2019,22515.69
Apr_2019,27552.38
Mar_2019,25372.39
Feb_2019,26565.36
Jan_2019,22635.07
Dec_2018,21924.0
Nov_2018,25488.19
Oct_2018,25342.82
Sep_2018,28900.6
Aug_2018,27848.52
Jul_2018,33909.74
Jun_2018,31998.52
May_2018,31885.24
Apr_2018,40021.99
Mar_2018,37794.17
Feb_2018,38954.43
Jan_2018,39462.46
Dec_2017,34955.17
Nov_2017,38053.89
Oct_2017,36863.22
Sep_2017,40103.99
Aug_2017,38058.42
Jul_2017,37020.3
