Industry,Number_of_employed_people
Public_administration,6809
Retail_trade,2844
Accommodation_and_food_services,1912
Educational_services,1480
Transportation_and_warehousing,1416
Health_care_and_social_assistance,1368
Construction,1333
Professional_scientific_and_technical_services,717
Other_services_(except_public_administration),574
Administrative_and_support_waste_management_and_remediation_services,504
Information_and_cultural_industries,493
Arts_entertainment_and_recreation,383
Wholesale_trade,377
Finance_and_insurance,332
Real_estate_and_rental_and_leasing,308
Management_of_companies_and_enterprises,36
