opinion_of_executives,Current,Future
Better_understanding_subpopulations_and_heterogeneity_of_treatment_effects,60,40
Understanding_burdern_of_disease,60,5
Monitoring_patient_safety_(i.e._pharmacovigilance),50,30
Comparative_effectiveness_research,35,20
Supporting_regulatory_submission_and_or_label_expansion,20,45
Accelerating_the_execution_of_clinical_trials_using_RWD_as_a_control_arm_for_clinical_trials,15,35
Optimizing_the_design_of_clinical_trials,10,50
Identifying_new_drug_targets/areas_of_unmet_needs,10,20
Design_of_value-based_contracting_schemes,5,40
Biomarker_hypothesis_generation/validation,10,10
Supporting_patient_engagement_programs,0,5
Measuring_sales_performance_targeting_and_marketing_metrics,0,0
Informing_business_development_and_portfolio_strategy_(therapeutic_area_assessment),0,0
Informing_pricing_strategies,0,0
