Year,Number_of_Grammy_Awards_received
How_to_Dismantle_an_Atomic_Bomb_by_U2,9
Supernatural_by_Santana,9
Come_Away_With_Me_by_Norah_Jones,8
Genius_Loves_Company_by_Ray_Charles,8
Thriller_by_Michael_Jackson,8
All_That_You_Can't_Leave_Behind_by_U2,7
Back_on_the_Block_by_Quincy_Jones,7
21_by_Adele,7
24K_Magic_-_Bruno_Mars,7
Back_To_Black_by_Amy_Winehouse,6
The_Blueprint_3_by_Jay-Z,6
Bridge_Over_Troubled_Water_by_Simon_&_Garfunkel,6
Raising_Sand_by_Robert_Plant_&_Alison_Krauss,6
The_Return_of_Roger_Miller_by_Roger_Miller,6
Taking_the_Long_Way_by_Dixie_Chicks,6
To_Pimp_a_Butterfly_by_Kendrick_Lamar,6
Toto_IV_by_Toto,6
Unforgettable...with_Love_by_Natalie_Cole,6
Unplugged_by_Eric_Clapton,6
