Month,Goods,Services
Nov_20,219.9,403.6
Oct_20,221.0,404.6
Sep_20,220.2,407.2
Aug_20,219.5,405.9
Jul_20,219.0,410.3
Jun_20,218.6,406.9
May_20,218.0,406.2
Apr_20,217.7,406.7
Mar_20,220.2,404.2
Feb_20,219.9,402.5
Jan_20,218.3,400.6
Dec_19,219.4,402.5
Nov_19,219.6,399.4
Oct_19,218.5,399.8
Sep_19,218.9,401.0
Aug_19,218.1,405.7
Jul_19,216.8,401.3
Jun_19,218.3,399.0
May_19,218.1,397.6
Apr_19,216.9,397.4
Mar_19,217.3,388.3
Feb_19,216.8,388.1
Jan_19,214.0,386.6
Dec_18,215.8,391.8
Nov_18,216.1,387.5
Oct_18,215.1,388.9
Sep_18,215.1,388.6
Aug_18,213.9,391.3
Jul_18,212.2,387.7
Jun_18,214.0,383.8
May_18,213.8,381.6
Apr_18,212.8,380.2
Mar_18,212.4,378.0
Feb_18,212.0,377.9
Jan_18,209.2,376.6
Dec_17,210.5,381.0
Nov_17,209.7,376.0
Oct_17,208.7,376.2
Sep_17,208.4,376.2
Aug_17,206.3,379.6
Jul_17,204.9,376.7
Jun_17,206.1,373.0
May_17,206.3,370.5
Apr_17,205.5,369.4
Mar_17,205.9,365.2
Feb_17,204.4,364.8
Jan_17,201.0,362.4
Dec_16,201.5,366.6
Nov_16,201.2,362.1
Oct_16,199.8,362.4
Sep_16,199.5,362.7
Aug_16,198.0,364.9
Jul_16,197.3,362.7
Jun_16,198.4,360.2
May_16,198.2,358.1
Apr_16,197.8,356.7
Mar_16,197.8,357.2
Feb_16,197.0,355.5
Jan_16,195.6,354.2
Dec_15,197.3,357.1
Nov_15,197.9,353.7
Oct_15,198.0,353.3
Sep_15,198.3,353.4
Aug_15,198.3,354.7
Jul_15,197.4,353.0
Jun_15,199.6,350.3
May_15,199.3,349.7
Apr_15,198.9,348.9
Mar_15,198.9,347.1
Feb_15,198.0,347.1
Jan_15,196.4,346.0
Dec_14,199.6,347.1
Nov_14,199.6,345.9
Oct_14,200.5,346.2
Sep_14,200.8,345.2
Aug_14,200.0,345.8
Jul_14,199.2,344.8
Jun_14,201.0,343.1
May_14,200.8,342.6
Apr_14,200.6,342.8
Mar_14,200.6,340.4
Feb_14,199.9,340.1
Jan_14,197.6,339.2
Dec_13,199.0,339.8
Nov_13,198.6,336.5
Oct_13,198.3,336.3
Sep_13,198.8,335.5
Aug_13,197.2,336.0
Jul_13,195.7,335.3
Jun_13,196.6,333.9
May_13,197.2,333.7
Apr_13,197.0,332.7
Mar_13,196.8,331.0
Feb_13,195.6,329.7
Jan_13,192.9,328.9
Dec_12,194.0,330.0
Nov_12,194.0,326.5
Oct_12,193.9,326.2
Sep_12,193.2,323.5
Aug_12,190.8,324.5
Jul_12,189.7,323.8
Jun_12,190.5,321.8
May_12,192.3,320.9
Apr_12,192.6,320.5
Mar_12,191.4,317.5
Feb_12,189.9,317.2
Jan_12,186.7,317.3
Dec_11,188.0,319.3
Nov_11,188.1,316.1
Oct_11,187.4,315.6
Sep_11,187.7,314.7
Aug_11,186.1,312.1
Jul_11,184.7,310.5
Jun_11,186.2,309.3
May_11,186.7,308.4
Apr_11,185.5,308.0
Mar_11,183.8,304.9
Feb_11,182.3,303.7
Jan_11,179.3,302.2
Dec_10,178.4,301.8
Nov_10,177.2,298.8
Oct_10,175.6,298.5
Sep_10,175.4,297.4
Aug_10,174.1,297.7
Jul_10,173.8,295.7
Jun_10,175.1,295.1
May_10,175.3,293.2
Apr_10,174.6,292.4
Mar_10,173.0,289.4
Feb_10,171.0,288.8
Jan_10,169.3,288.6
Dec_09,169.7,288.2
Nov_09,169.1,285.2
Oct_09,168.1,285.1
Sep_09,168.1,283.8
Aug_09,166.6,284.1
Jul_09,165.7,283.2
Jun_09,166.5,281.5
May_09,165.5,282.0
Apr_09,163.7,281.1
Mar_09,163.0,280.3
Feb_09,161.9,280.6
Jan_09,159.0,279.9
Dec_08,161.1,280.4
Nov_08,162.7,279.4
Oct_08,163.9,279.1
Sep_08,165.3,278.0
Aug_08,165.1,274.2
Jul_08,165.5,271.0
Jun_08,166.7,269.6
May_08,164.3,269.0
Apr_08,162.6,267.9
Mar_08,161.4,265.2
Feb_08,160.0,264.6
Jan_08,158.8,261.9
Dec_07,160.4,261.2
Nov_07,159.3,259.9
Oct_07,158.1,259.9
Sep_07,157.7,258.4
Aug_07,156.6,258.8
Jul_07,156.2,257.8
Jun_07,158.8,257.0
May_07,157.9,256.9
Apr_07,157.0,256.8
Mar_07,156.6,255.6
Feb_07,154.9,255.4
Jan_07,153.8,254.7
Dec_06,156.1,254.1
Nov_06,154.9,253.0
Oct_06,154.4,251.9
Sep_06,155.3,249.5
Aug_06,155.2,248.8
Jul_06,154.4,248.5
Jun_06,155.4,246.8
May_06,155.0,245.7
Apr_06,153.7,244.8
Mar_06,153.6,241.3
Feb_06,153.0,240.2
Jan_06,152.1,240.0
Dec_05,153.4,239.6
Nov_05,153.1,238.6
Oct_05,153.1,238.0
Sep_05,153.4,236.9
Aug_05,152.4,236.7
Jul_05,152.1,236.6
Jun_05,152.9,235.1
May_05,152.9,234.8
Apr_05,152.7,234.1
Mar_05,152.7,231.9
Feb_05,151.4,231.5
Jan_05,150.6,231.2
Dec_04,152.4,231.1
Nov_04,152.0,229.2
Oct_04,151.8,228.6
Sep_04,151.7,227.9
Aug_04,151.2,228.2
Jul_04,151.0,227.5
Jun_04,152.6,226.1
May_04,153.1,225.6
Apr_04,152.5,225.1
Mar_04,152.4,223.4
Feb_04,152.0,223.0
Jan_04,151.4,222.3
Dec_03,152.3,221.9
Nov_03,152.2,221.0
Oct_03,152.1,221.3
Sep_03,152.3,220.9
Aug_03,151.4,220.6
Jul_03,150.9,220.2
Jun_03,151.9,219.1
May_03,152.4,218.8
Apr_03,152.3,218.4
Mar_03,152.5,216.7
Feb_03,151.3,216.4
Jan_03,150.2,216.1
Dec_02,151.2,214.9
Nov_02,151.3,214.5
Oct_02,151.2,214.1
Sep_02,151.5,213.2
Aug_02,150.5,212.2
Jul_02,150.5,211.3
Jun_02,151.6,210.7
May_02,152.3,210.2
Apr_02,152.2,209.5
Mar_02,152.1,207.3
Feb_02,151.2,207.0
Jan_02,150.7,206.6
Dec_01,151.8,205.1
Nov_01,151.5,204.7
Oct_01,152.3,204.3
Sep_01,152.9,203.5
Aug_01,152.2,202.9
Jul_01,151.8,202.2
Jun_01,154.0,201.7
May_01,153.7,201.2
Apr_01,152.1,200.4
Mar_01,151.9,198.2
Feb_01,151.0,198.0
Jan_01,150.0,197.6
Dec_00,152.2,197.1
Nov_00,152.3,196.8
Oct_00,151.7,196.4
Sep_00,152.2,195.9
Aug_00,151.0,194.8
Jul_00,151.4,194.5
Jun_00,152.9,193.9
May_00,152.6,193.5
Apr_00,152.2,193.0
Mar_00,151.2,192.8
Feb_00,150.4,192.3
Jan_00,149.6,192.1
Dec_99,151.5,191.0
Nov_99,151.1,190.8
Oct_99,151.0,190.5
Sep_99,151.5,189.4
Aug_99,150.9,188.6
Jul_99,150.6,188.2
Jun_99,151.9,187.3
May_99,152.3,187.1
Apr_99,151.8,186.7
Mar_99,151.5,185.0
Feb_99,150.3,184.6
Jan_99,149.6,184.4
Dec_98,151.0,183.8
Nov_98,150.4,183.6
Oct_98,150.4,183.4
Sep_98,150.7,182.8
Aug_98,150.1,182.1
Jul_98,149.3,181.7
Jun_98,150.6,181.4
May_98,151.0,181.2
Apr_98,149.9,180.8
Mar_98,149.3,179.0
Feb_98,148.7,178.7
Jan_98,147.5,178.4
Dec_97,148.9,177.6
Nov_97,148.7,177.4
Oct_97,148.7,177.3
Sep_97,148.8,176.6
Aug_97,148.0,176.4
Jul_97,147.0,175.9
Jun_97,147.7,175.8
May_97,147.3,175.6
Apr_97,146.7,175.2
Mar_97,146.5,173.8
Feb_97,145.9,173.6
Jan_97,145.2,173.3
Dec_96,146.0,172.5
Nov_96,145.4,172.1
Oct_96,145.3,172.0
Sep_96,145.5,171.7
Aug_96,144.5,171.2
Jul_96,143.4,171.0
Jun_96,144.8,170.4
May_96,144.8,170.0
Apr_96,144.2,169.6
Mar_96,143.6,168.3
Feb_96,142.6,168.1
Jan_96,141.5,168.0
Dec_95,142.2,167.6
Nov_95,140.9,167.4
Oct_95,140.9,167.2
Sep_95,141.5,167.6
Aug_95,140.6,167.1
Jul_95,139.5,166.7
Jun_95,140.6,166.8
May_95,140.7,166.6
Apr_95,139.6,166.3
Mar_95,139.2,164.7
Feb_95,138.1,164.6
Jan_95,137.1,164.3
Dec_94,137.3,164.1
Nov_94,136.4,163.7
Oct_94,136.2,163.7
Sep_94,136.6,163.5
Aug_94,136.3,163.2
Jul_94,135.3,162.9
Jun_94,136.6,162.7
May_94,136.8,162.5
Apr_94,136.0,162.3
Mar_94,135.7,159.2
Feb_94,135.0,159.2
Jan_94,133.8,159.1
Dec_93,134.6,158.9
Nov_93,134.1,158.7
Oct_93,134.6,158.5
Sep_93,135.0,158.2
Aug_93,134.3,157.7
Jul_93,133.6,157.4
Jun_93,134.3,156.9
May_93,134.4,156.9
Apr_93,133.8,156.7
Mar_93,132.5,153.7
Feb_93,131.4,153.3
Jan_93,130.1,153.0
Dec_92,131.5,152.0
Nov_92,131.3,152.0
Oct_92,131.2,151.8
Sep_92,130.7,151.2
Aug_92,130.3,150.8
Jul_92,130.1,150.7
Jun_92,131.1,149.9
May_92,131.2,149.5
Apr_92,130.7,149.1
Mar_92,129.7,146.0
Feb_92,128.8,145.8
Jan_92,127.9,145.5
Dec_91,128.7,144.0
Nov_91,128.6,144.0
Oct_91,128.1,143.6
Sep_91,127.6,142.5
Aug_91,127.1,141.6
Jul_91,126.4,141.2
Jun_91,127.1,139.9
May_91,126.4,139.1
Apr_91,125.5,138.0
Mar_91,121.7,133.0
Feb_91,121.2,132.6
Jan_91,120.3,132.2
Dec_90,120.8,130.6
Nov_90,121.0,130.2
Oct_90,121.1,129.8
Sep_90,120.1,128.9
Aug_90,118.8,127.9
Jul_90,117.2,127.5
Jun_90,117.7,126.3
May_90,117.5,125.4
Apr_90,116.5,124.2
Mar_90,114.6,121.6
Feb_90,113.9,121.2
Jan_90,113.2,120.6
Dec_89,112.8,119.5
Nov_89,112.6,119.3
Oct_89,112.1,118.9
Sep_89,111.2,118.3
Aug_89,110.4,117.8
Jul_89,110.2,117.6
Jun_89,110.6,116.8
May_89,110.3,116.2
Apr_89,109.7,115.6
Mar_89,108.4,113.4
Feb_89,107.8,113.2
Jan_89,107.3,113.0
Dec_88,107.1,111.5
Nov_88,106.9,111.4
Oct_88,106.5,110.8
Sep_88,106.0,110.4
Aug_88,105.5,109.9
Jul_88,105.1,109.6
Jun_88,105.3,108.8
May_88,105.0,108.1
Apr_88,104.5,107.4
Mar_88,103.7,105.4
Feb_88,103.2,105.2
Jan_88,102.8,104.8
Dec_87,103.1,104.0
Nov_87,103.0,103.9
Oct_87,102.5,103.3
Sep_87,101.9,102.9
Aug_87,101.5,102.7
Jul_87,101.2,102.5
Jun_87,101.6,102.1
May_87,101.7,101.9
Apr_87,101.3,101.5
Mar_87,100.8,100.3
Feb_87,100.5,100.2
Jan_87,100.0,100.0
