Response,Share_of_respondents
Fashion,53
Shoes_and_accessories,39
Smartphones_and_tablets,35
Home_electronics_and_appliances,35
Toys,35
Video_games_and_games_consoles,27
Health_and_beauty,26
Sport_(gym_wear_equipment_water_sports_etc.),20
Leisure_(events_books_music_restaurants_etc.),18
Home_items,14
Food_and_drink,9
Baby_products,9
Travel_(flights_and_hotels),8
Relax_products,6
Education,4
Automobile_and_accessories,4
Bicycles_and_accessories,4
Motorbikes_and_accessories,4
Other_product_or_services,3
