Month,Units_sold
Dec_'20,963
Nov_'20,824
Oct_'20,1053
Sep_'20,2815
Aug_'20,1259
Jul_'20,2480
Jun_'20,2469
May_'20,775
Apr_'20,166
Mar_'20,3234
Feb_'20,601
Jan_'20,1074
Dec_'19,969
Nov_'19,939
Oct_'19,1125
Sep_'19,2664
Aug_'19,985
Jul_'19,1787
Jun_'19,2509
May_'19,2248
Apr_'19,1956
Mar_'19,4395
Feb_'19,560
Jan_'19,931
Dec_'18,845
Nov_'18,987
Oct_'18,1150
Sep_'18,2249
Aug_'18,1151
Jul_'18,1719
Jun_'18,2842
May_'18,2418
Apr_'18,2131
Mar_'18,4125
Feb_'18,556
Jan_'18,957
Dec_'17,987
Nov_'17,902
Oct_'17,1211
Sep_'17,2502
Aug_'17,1105
Jul_'17,1867
Jun_'17,3007
May_'17,2403
Apr_'17,2142
Mar_'17,3962
Feb_'17,514
Jan_'17,759
