ice_hockey_team,Price_of_a_hot_dog_in_U.S._dollars
Florida_Panthers,6.5
New_York_Rangers,6.5
Chicago_Blackhawks,6.25
New_York_Islanders,6.25
Winnipeg_Jets,6.02
Anaheim_Ducks,6
Los_Angeles_Kings,5.75
Boston_Bruins,5.75
New_Jersey_Devils,5.75
Washington_Capitals,5.5
Philadelphia_Flyers,5.25
St._Louis_Blues,5
Minnesota_Wild,5
Pittsburgh_Pinguins,5
NHL_average,4.94
Vancouver_Canucks,4.91
Toronto_Maple_Leafs,4.84
Colorado_Avalanche,4.75
Tampa_Bay_Lightning,4.5
Buffalo_Sabres,4.25
Nashville_Predators,4.25
San_Jose_Sharks,4
Dallas_Stars,4
Columbus_Blue_Jackets,4
Carolina_Hurricanes,4
Detroit_Red_Wings,4
Edmonton_Oilers,3.79
Montreal_Canadiens,3.69
Calgary_Flames,3.61
Ottawa_Senators,3.57
Phoenix_Coyotes,0
