Month,Retail_sales_value_in_thousand_GBP
Apr_20,13786437
Mar_20,18020501
Feb_20,13104801
Jan_20,16392550
Dec_19,16015531
Nov_19,12971538
Oct_19,13019378
Sep_19,16283086
Aug_19,13005887
Jul_19,12941718
Jun_19,16096379
May_19,12830476
Apr_19,12861245
Mar_19,16203461
Feb_19,12849337
Jan_19,12897567
Dec_18,15955425
Nov_18,12675943
Oct_18,12624204
Sep_18,15735254
Aug_18,12683200
Jul_18,12754473
Jun_18,15866605
May_18,12692589
Apr_18,12475067
Mar_18,15480424
Feb_18,12460171
Jan_18,12304172
Dec_17,15485722
Nov_17,12344809
Oct_17,12310081
Sep_17,15253284
Aug_17,12134745
Jul_17,12108540
Jun_17,15038352
May_17,12111792
Apr_17,12174782
Mar_17,15194614
Feb_17,12096590
Jan_17,11948514
Dec_16,14915507
Nov_16,12018628
Oct_16,12035943
Sep_16,15009519
Aug_16,11935235
Jul_16,11838856
Jun_16,14765328
May_16,11826270
Apr_16,11731018
Mar_16,14747702
Feb_16,11826778
Jan_16,11794708
Dec_15,14762026
Nov_15,11714568
Oct_15,11607049
Sep_15,14837769
Aug_15,11503811
Jul_15,11657450
Jun_15,14670578
May_15,11715757
Apr_15,11662455
Mar_15,14604714
Feb_15,11621123
Jan_15,11633752
Dec_14,14687741
Nov_14,11779128
Oct_14,11724001
Sep_14,14581685
Aug_14,11624073
Jul_14,11782161
Jun_14,14672722
May_14,11652918
