Specifically_tailored_program_or_group,Percentage_of_facilities
Clients_with_co-occuring_mental_and_substance_abuse_disorders,53
Adult_women,49
Adult_men,47
Clients_who_have_experienced_trauma,43
Criminal_justice_clients_(other_than_DUI/DWI),36
Young_adults,31
Persons_who_have_experienced_intimate_partner_violence_domestic_violence,28
Persons_who_have_experienced_sexual_abuse,28
Adolescents,24
DUI_or_DWI_clients,24
Pregnant_or_postpartum_women,24
Seniors_or_older_adults,23
Persons_with_HIV_or_AIDS,23
Lesbian_gay_bisexual_transgender_clients,22
Veterans,20
Members_of_military_families,14
Active_duty_military,12
