Quarter,Size_of_global_sales_force
Q3_'20,1369
Q2_'20,1016
Q1_'20,2218
Q4_'19,2316
Q3_'19,2438
Q2_'19,2327
Q1_'19,2377
Q4_'18,2268
Q3_'18,2334
Q2_'18,2373
Q1_'18,2404
Q4_'17,2407
Q3_'17,2457
Q2_'17,2485
Q1_'17,2624
Q4_'16,2626
Q3_'16,2695
Q2_'16,2893
Q1_'16,3068
Q4_'15,3992
Q3_'15,4168
Q2_'15,4321
Q1_'15,4429
Q4_'14,4984
Q3_'14,4420
Q4_'13,4834
Q3_'13,4801
Q2_'13,4679
Q1_'13,4566
Q4_'12,4677
Q3_'12,5087
Q2_'12,5587
Q1_'12,5735
Q4_'11,5196
Q3_'11,4853
Q2_'11,4850
Q1_'11,3556
Q4_'10,2573
Q3_'10,1572
Q2_'10,1281
Q1_'10,128
Q4_'09,76
Q3_'09,44
Q2_'09,18
Q1_'09,2
