Country,Length_of_rail_network_in_kilometers
Germany,39299
France_,27594
Poland,18536
Italy,16781
United_Kingdom,16294
Spain,15893
Sweden,10906
Romania,10765
Turkey,10417
Czech_Republic,9406
Hungary,7752
Finland,5925
Austria,4953
Norway,4134
Switzerland,4032
Bulgaria,4030
Serbia,3724
Slovak_Republic,3627
Belgium_,3602
Netherlands,3220
Croatia,2605
Portugal,2546
Denmark,2519
Greece,2292
Republic_of_Ireland,2045
Lithuania,1911
Latvia,1860
Slovenia,1209
Estonia,1033
North_Macedonia,683
Albania,423
Luxembourg,275
Montenegro,249
