Wool_sale_dates,Average_price_in_pence_per_kilogram
3_Oct_'17,100
19_Sep_'17,98
5_Sep_'17,105
15_Aug_'17,107
25_Jul_'17,108
4_Jul_'17,106
6_Jun_'17,108
9_May_'17,106
11_Apr_'17,116
28_Mar_'17,110
7_Mar_'17,107
14_Feb_'17,101
24_Jan_'17,105
10_Jan_'17,106
13_Dec_'16,109
22_Nov_'16,114
8_Nov_'16,120
18_Oct_'16,114
4_Oct_'16,115
20_Sep_'16,124
6_Sep_'16,124
16_Aug_'16,126
26_Jul_'16,131
5_Jul_'16,131
7_Jun_'16,125
10_May_'16,127
12_Apr_'16,134
15_Mar_'16,134
1_Mar_'16,117
16_Feb_'16,117
26_Jan_'16,128
12_Jan_'16,125
15_Dec_'15,126
24_Nov_'15,125
10_Nov_'15,120
20_Oct_15,123
6_Oct_'15,125
22_Sep_'15,127
1_Sep_'15,128
18_Aug_'15,143
28_Jul_'15,146
7_Jul_'15,151
9_Jun_'15,147
12_May_'15,157
14_Apr_'15,150
17_Mar_'15,143
3_Mar_'15,144
10_Feb_'15,144
27_Jan_'15,142
6_Jan_'15,148
9_Dec_'14,145
25_Nov_'14,147
11_Nov_'14,151
21_Oct_2014,154
7_Oct_'14,153
23_Sep_'14,150
2_Sep_'14,155
