NCAA_Final_Four_game,Points_scored
Bill_Bradley_-_Princeton_vs._Wichita_St._1965,58
Hal_Lear_-_Temple_vs._SMU_1956,48
Bill_Walton_-_UCLA_vs._Memphis_1973,44
Bob_Houbregs_-_Washington_vs._LSU_1953,42
Gail_Goodrich_-_UCLA_vs._Michigan_1965,42
Jack_Givens_-_Kentucky_vs._Duke_1978,41
Oscar_Robertson_-_Cincinnati_vs._Louisville_1959,39
Al_Wood_-_North_Carolina_vs._Virginia_1981,39
Jerry_West_-_West_Virginia_vs._Louisville_1959,38
Jerry_Chambers_-_Utah_vs._UTEP_1966,38
Freddie_Banks_-_UNLV_vs._Indiana_1987,38
