Bundesliga_Club,Yellow_card,Yellow-red_card,Red_card,Points
Borussia_Dortmund,19,0,0,19
SC_Freiburg,21,0,0,21
RasenBallsport_Leipzig,22,0,0,22
VfL_Wolfsburg,22,0,0,22
Arminia_Bielefeld,22,0,0,22
Hertha_BSC,20,1,0,23
Bayer_04_Leverkusen,24,0,0,24
FC_Bayern_München,20,0,1,25
1.FC_Köln,25,1,0,28
1.FSV_Mainz_05,25,1,0,28
1.FC_Union_Berlin,23,0,1,28
FC_Augsburg,22,2,0,28
Borussia_Mönchengladbach,27,0,1,32
VfB_Stuttgart,29,1,0,32
SV_Werder_Bremen,29,1,0,32
FC_Schalke_04,33,1,0,36
Eintracht_Frankfurt,36,1,0,39
TSG_1899_Hoffenheim,26,2,2,42
